module,scenario,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit,loser_to_win,loser_to_nonloss,winner_destroyed
breakout,skip_bars_since_rsi_up_5,517,2,204,313,0,0.3945841392649903,0.07298943970818468,0.04168419586511518,-0.043948489645113976,-0.04023518231209178,0.002193362556187622,-0.014340356869460558,0.002193362556187622,1.0824351962586483,11.899419729206963,10.0,-0.21953813037602288,-0.08562959934291733,-0.11301150441792968,0.16727951851358255,0,0,0
breakout,skip_candle_range_atr_3,483,1,193,290,0,0.3995859213250518,0.0735714880959361,0.04001896200604449,-0.0432597784572506,-0.03923745209860158,0.0034243508279772146,-0.013197638432546288,0.0034243508279772146,1.131838755257695,12.045548654244307,10.0,-0.21953813037602288,-0.0833708372156273,-0.10969840574261971,0.1553761011405111,0,0,0
breakout,skip_distance_to_upper_band_atr_1,479,2,196,283,0,0.4091858037578288,0.07216394848160419,0.04075384988069508,-0.04280543899079723,-0.03784418252842414,0.004238402229642599,-0.012918284667216007,0.004238402229642599,1.1675916172861747,12.008350730688935,10.0,-0.21953813037602288,-0.08401964216819108,-0.11265000352206082,0.15074718430778397,0,0,0
pullback,skip_bb_width_5,289,0,128,161,0,0.4429065743944637,0.05444283227587974,0.029600448475641028,-0.021063939141490517,-0.017143118499322263,0.012378506330562745,-0.005066340818945192,0.012378506330562745,2.054874073636839,6.031141868512111,4.0,-0.0894435172802529,-0.03941608024175478,-0.05472328140324398,0.2028291105217589,0,0,0
pullback,skip_candle_range_atr_4,299,0,129,170,0,0.431438127090301,0.062267016100752325,0.03279489753850107,-0.026588528937827823,-0.02025832415670764,0.011747140995205078,-0.006812500958927603,0.011747140995205078,1.777069992627135,6.026755852842809,4.0,-0.1245550227332578,-0.06466966306536384,-0.08517623433017767,0.19321892585436576,0,0,0
pullback,skip_rsi_distance_from_avg_2,282,0,121,161,0,0.42907801418439717,0.0632132107219598,0.02950535400509713,-0.02790880829471648,-0.02116890958104045,0.011189646673431851,-0.006023411310024818,0.011189646673431851,1.7022606160496623,6.024822695035461,4.0,-0.1245550227332578,-0.07003901752511808,-0.08681319429278551,0.21268751238563094,0,0,0
squeeze,skip_bars_since_oversold_4,147,1,57,90,0,0.3877551020408163,0.08514081472473528,0.05264492397153275,-0.03730288125711263,-0.0319917865097169,0.010175286572583504,-0.015049065445607801,0.010175286572583504,1.4455321995281747,12.727891156462585,9.0,-0.14879647972730503,-0.07400727422554562,-0.09195199244187303,0.34046662037690284,0,0,0
squeeze,skip_bars_since_rsi_up_5,170,0,61,109,0,0.3588235294117647,0.07521394606085643,0.05150216381907469,-0.03601598947129338,-0.031503395797918055,0.003895928572595676,-0.018665808726065547,0.003895928572595676,1.1687089252270457,12.305882352941177,9.0,-0.14879647972730503,-0.0724025806555102,-0.09202645682306203,0.29798970620434845,0,0,0
squeeze,skip_candle_range_atr_2,162,1,59,103,0,0.36419753086419754,0.08588695424816424,0.058158820473751094,-0.03497615767246794,-0.031503395797918055,0.009041889261589463,-0.015459393689655598,0.009041889261589463,1.4065976606216692,12.358024691358025,9.0,-0.12011566805892382,-0.07157192001828683,-0.08262760690192303,0.30813618975668694,0,0,0
