bin,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit,module,feature,group_type,year,symbol,partition
2,1,0,0,1,0,0.0,,,-0.009731563084107941,-0.009731563084107941,-0.009731563084107941,-0.009731563084107941,-0.009731563084107941,0.0,9.0,9.0,-0.009731563084107941,-0.009731563084107941,-0.009731563084107941,,meanrev,rsi,bin/year,2022.0,,
2,1,0,1,0,0,1.0,0.12532321566664706,0.12532321566664706,,,0.12532321566664706,0.12532321566664706,0.12532321566664706,inf,16.0,16.0,0.12532321566664706,0.12532321566664706,0.12532321566664706,1.0,meanrev,rsi,bin/year,2023.0,,
2,3,0,1,2,0,0.3333333333333333,0.004226827778222031,0.004226827778222031,-0.030523159215666174,-0.030523159215666174,-0.01893983021770344,-0.024303293320019015,-0.01893983021770344,0.06923968368340766,11.333333333333334,10.0,-0.03674302511131333,-0.0354990519321839,-0.03674302511131333,1.0,meanrev,rsi,bin/year,2024.0,,
2,3,0,1,2,0,0.3333333333333333,0.0434645867051171,0.0434645867051171,-0.040318477728338575,-0.040318477728338575,-0.012390789583853349,-0.020585578699680362,-0.012390789583853349,0.5390157212528789,9.0,10.0,-0.06005137675699679,-0.05610479695126515,-0.06005137675699679,1.0,meanrev,rsi,bin/year,2025.0,,
2,2,0,1,1,0,0.5,0.128912119821051,0.128912119821051,-0.02330407598334827,-0.02330407598334827,0.05280402191885136,0.05280402191885136,0.05280402191885136,5.531741310540013,20.5,20.5,-0.02330407598334827,-0.01569326619312831,-0.02330407598334827,1.0,meanrev,rsi,bin/year,2026.0,,
3,1,0,1,0,0,1.0,0.007077589132747919,0.007077589132747919,,,0.007077589132747919,0.007077589132747919,0.007077589132747919,inf,12.0,12.0,0.007077589132747919,0.007077589132747919,0.007077589132747919,1.0,meanrev,rsi,bin/year,2022.0,,
3,1,0,0,1,0,0.0,,,-0.07538102799497814,-0.07538102799497814,-0.07538102799497814,-0.07538102799497814,-0.07538102799497814,0.0,4.0,4.0,-0.07538102799497814,-0.07538102799497814,-0.07538102799497814,,meanrev,rsi,bin/year,2023.0,,
3,5,0,4,1,0,0.8,0.1056805950110421,0.10745107345054872,-0.03226875185625433,-0.03226875185625433,0.07809072563758282,0.030453721903250353,0.07809072563758282,13.100053634774731,15.8,20.0,-0.03226875185625433,-0.025255409554693298,-0.03226875185625433,1.0,meanrev,rsi,bin/year,2024.0,,
3,1,0,1,0,0,1.0,0.054055197233185526,0.054055197233185526,,,0.054055197233185526,0.054055197233185526,0.054055197233185526,inf,9.0,9.0,0.054055197233185526,0.054055197233185526,0.054055197233185526,1.0,meanrev,rsi,bin/year,2025.0,,
3,3,0,0,3,0,0.0,,,-0.07572274831263855,-0.07928656123104905,-0.07572274831263855,-0.07928656123104905,-0.07572274831263855,0.0,3.3333333333333335,3.0,-0.086690138035727,-0.08594978035525921,-0.086690138035727,,meanrev,rsi,bin/year,2026.0,,
4,1,0,0,1,0,0.0,,,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,0.0,9.0,9.0,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,,meanrev,rsi,bin/year,2022.0,,
4,2,0,1,1,0,0.5,0.07284205647065445,0.07284205647065445,-0.014430185704441323,-0.014430185704441323,0.029205935383106563,0.029205935383106563,0.029205935383106563,5.047894598351227,16.0,16.0,-0.014430185704441323,-0.010066573595686534,-0.014430185704441323,1.0,meanrev,rsi,bin/year,2023.0,,
4,3,0,1,2,0,0.3333333333333333,0.0071421512395999365,0.0071421512395999365,-0.03663447454705271,-0.03663447454705271,-0.022042265951501827,-0.02728160600758467,-0.022042265951501827,0.09747855439316697,10.666666666666666,9.0,-0.04598734308652075,-0.044116769378627144,-0.04598734308652075,1.0,meanrev,rsi,bin/year,2024.0,,
4,4,0,2,2,0,0.5,0.021099080322608543,0.021099080322608543,-0.031198730551402876,-0.031198730551402876,-0.005049825114397166,-0.0007127081253522904,-0.005049825114397166,0.6762800905583579,11.0,10.5,-0.0429881023642531,-0.039451290820398034,-0.0429881023642531,1.0,meanrev,rsi,bin/year,2025.0,,
4,2,0,2,0,0,1.0,0.17822332352781012,0.17822332352781012,,,0.17822332352781012,0.17822332352781012,0.17822332352781012,inf,21.0,21.0,0.039319868057414054,0.05321021360445366,0.039319868057414054,1.0,meanrev,rsi,bin/year,2026.0,,
5,3,0,1,2,0,0.3333333333333333,0.03527910502502296,0.03527910502502296,-0.009581586557021182,-0.009581586557021182,0.0053719773036601986,-0.00011654540743621933,0.0053719773036601986,1.840984518329649,6.333333333333333,6.0,-0.019046627706606145,-0.017153619476689152,-0.019046627706606145,1.0,meanrev,rsi,bin/year,2022.0,,
5,1,0,0,1,0,0.0,,,-0.03560928546578934,-0.03560928546578934,-0.03560928546578934,-0.03560928546578934,-0.03560928546578934,0.0,9.0,9.0,-0.03560928546578934,-0.03560928546578934,-0.03560928546578934,,meanrev,rsi,bin/year,2023.0,,
5,4,0,3,1,0,0.75,0.07518694498902583,0.07469704448944636,-0.02874775392887874,-0.02874775392887874,0.04920327025954968,0.07223415573879999,0.04920327025954968,7.8462072384892965,16.75,21.0,-0.02874775392887874,-0.013969900791323884,-0.02874775392887874,1.0,meanrev,rsi,bin/year,2024.0,,
5,2,0,1,1,0,0.5,0.07562377326068126,0.07562377326068126,-0.0037253653351255744,-0.0037253653351255744,0.03594920396277784,0.03594920396277784,0.03594920396277784,20.299693173081007,7.0,7.0,-0.0037253653351255744,0.00024209159466476778,-0.0037253653351255744,1.0,meanrev,rsi,bin/year,2025.0,,
5,1,0,0,1,0,0.0,,,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,0.0,6.0,6.0,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,,meanrev,rsi,bin/year,2026.0,,
1,1,0,1,0,0,1.0,0.037993891268263136,0.037993891268263136,,,0.037993891268263136,0.037993891268263136,0.037993891268263136,inf,11.0,11.0,0.037993891268263136,0.037993891268263136,0.037993891268263136,1.0,meanrev,rsi,bin/symbol,,AAPL,
1,1,0,0,1,0,0.0,,,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,0.0,6.0,6.0,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,,meanrev,rsi,bin/symbol,,AMD,
1,1,0,0,1,0,0.0,,,-0.06718853304223316,-0.06718853304223316,-0.06718853304223316,-0.06718853304223316,-0.06718853304223316,0.0,5.0,5.0,-0.06718853304223316,-0.06718853304223316,-0.06718853304223316,,meanrev,rsi,bin/symbol,,CVX,
1,1,0,1,0,0,1.0,0.006904023801538983,0.006904023801538983,,,0.006904023801538983,0.006904023801538983,0.006904023801538983,inf,15.0,15.0,0.006904023801538983,0.006904023801538983,0.006904023801538983,1.0,meanrev,rsi,bin/symbol,,GOOGL,
1,1,0,1,0,0,1.0,0.10336747840359117,0.10336747840359117,,,0.10336747840359117,0.10336747840359117,0.10336747840359117,inf,17.0,17.0,0.10336747840359117,0.10336747840359117,0.10336747840359117,1.0,meanrev,rsi,bin/symbol,,HOOD,
1,1,0,1,0,0,1.0,0.0490759380865573,0.0490759380865573,,,0.0490759380865573,0.0490759380865573,0.0490759380865573,inf,10.0,10.0,0.0490759380865573,0.0490759380865573,0.0490759380865573,1.0,meanrev,rsi,bin/symbol,,JPM,
1,1,0,0,1,0,0.0,,,-0.059085511977824745,-0.059085511977824745,-0.059085511977824745,-0.059085511977824745,-0.059085511977824745,0.0,4.0,4.0,-0.059085511977824745,-0.059085511977824745,-0.059085511977824745,,meanrev,rsi,bin/symbol,,NOW,
1,1,0,0,1,0,0.0,,,-0.10417027794415878,-0.10417027794415878,-0.10417027794415878,-0.10417027794415878,-0.10417027794415878,0.0,2.0,2.0,-0.10417027794415878,-0.10417027794415878,-0.10417027794415878,,meanrev,rsi,bin/symbol,,ORCL,
1,0,1,0,0,0,,,,,,,,,,,,,,,,meanrev,rsi,bin/symbol,,RTX,
1,1,0,0,1,0,0.0,,,-0.05701756489586263,-0.05701756489586263,-0.05701756489586263,-0.05701756489586263,-0.05701756489586263,0.0,5.0,5.0,-0.05701756489586263,-0.05701756489586263,-0.05701756489586263,,meanrev,rsi,bin/symbol,,UBER,
1,1,0,1,0,0,1.0,0.018658578840074824,0.018658578840074824,,,0.018658578840074824,0.018658578840074824,0.018658578840074824,inf,13.0,13.0,0.018658578840074824,0.018658578840074824,0.018658578840074824,1.0,meanrev,rsi,bin/symbol,,V,
1,1,0,1,0,0,1.0,0.10229528307590563,0.10229528307590563,,,0.10229528307590563,0.10229528307590563,0.10229528307590563,inf,29.0,29.0,0.10229528307590563,0.10229528307590563,0.10229528307590563,1.0,meanrev,rsi,bin/symbol,,XOM,
2,1,0,1,0,0,1.0,0.12532321566664706,0.12532321566664706,,,0.12532321566664706,0.12532321566664706,0.12532321566664706,inf,16.0,16.0,0.12532321566664706,0.12532321566664706,0.12532321566664706,1.0,meanrev,rsi,bin/symbol,,ABNB,
2,1,0,0,1,0,0.0,,,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,0.0,3.0,3.0,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,,meanrev,rsi,bin/symbol,,AMZN,
2,1,0,0,1,0,0.0,,,-0.024303293320019015,-0.024303293320019015,-0.024303293320019015,-0.024303293320019015,-0.024303293320019015,0.0,10.0,10.0,-0.024303293320019015,-0.024303293320019015,-0.024303293320019015,,meanrev,rsi,bin/symbol,,CAT,
2,1,0,0,1,0,0.0,,,-0.03674302511131333,-0.03674302511131333,-0.03674302511131333,-0.03674302511131333,-0.03674302511131333,0.0,2.0,2.0,-0.03674302511131333,-0.03674302511131333,-0.03674302511131333,,meanrev,rsi,bin/symbol,,COP,
2,1,0,1,0,0,1.0,0.004226827778222031,0.004226827778222031,,,0.004226827778222031,0.004226827778222031,0.004226827778222031,inf,22.0,22.0,0.004226827778222031,0.004226827778222031,0.004226827778222031,1.0,meanrev,rsi,bin/symbol,,CRM,
2,1,0,1,0,0,1.0,0.128912119821051,0.128912119821051,,,0.128912119821051,0.128912119821051,0.128912119821051,inf,30.0,30.0,0.128912119821051,0.128912119821051,0.128912119821051,1.0,meanrev,rsi,bin/symbol,,GS,
2,1,0,0,1,0,0.0,,,-0.009731563084107941,-0.009731563084107941,-0.009731563084107941,-0.009731563084107941,-0.009731563084107941,0.0,9.0,9.0,-0.009731563084107941,-0.009731563084107941,-0.009731563084107941,,meanrev,rsi,bin/symbol,,HD,
2,1,0,1,0,0,1.0,0.0434645867051171,0.0434645867051171,,,0.0434645867051171,0.0434645867051171,0.0434645867051171,inf,10.0,10.0,0.0434645867051171,0.0434645867051171,0.0434645867051171,1.0,meanrev,rsi,bin/symbol,,SHOP,
2,2,0,0,2,0,0.0,,,-0.021944827341514317,-0.021944827341514317,-0.021944827341514317,-0.021944827341514317,-0.021944827341514317,0.0,12.5,12.5,-0.02330407598334827,-0.023168151119164877,-0.02330407598334827,,meanrev,rsi,bin/symbol,,WMT,
3,1,0,1,0,0,1.0,0.007077589132747919,0.007077589132747919,,,0.007077589132747919,0.007077589132747919,0.007077589132747919,inf,12.0,12.0,0.007077589132747919,0.007077589132747919,0.007077589132747919,1.0,meanrev,rsi,bin/symbol,,AVGO,
3,1,0,1,0,0,1.0,0.030453721903250353,0.030453721903250353,,,0.030453721903250353,0.030453721903250353,0.030453721903250353,inf,20.0,20.0,0.030453721903250353,0.030453721903250353,0.030453721903250353,1.0,meanrev,rsi,bin/symbol,,BAC,
3,1,0,0,1,0,0.0,,,-0.07928656123104905,-0.07928656123104905,-0.07928656123104905,-0.07928656123104905,-0.07928656123104905,0.0,4.0,4.0,-0.07928656123104905,-0.07928656123104905,-0.07928656123104905,,meanrev,rsi,bin/symbol,,CAT,
3,1,0,0,1,0,0.0,,,-0.03226875185625433,-0.03226875185625433,-0.03226875185625433,-0.03226875185625433,-0.03226875185625433,0.0,3.0,3.0,-0.03226875185625433,-0.03226875185625433,-0.03226875185625433,,meanrev,rsi,bin/symbol,,COP,
3,2,0,1,1,0,0.5,0.20502227349152014,0.20502227349152014,-0.0611915456711396,-0.0611915456711396,0.07191536391019027,0.07191536391019027,0.07191536391019027,3.3504999954302,12.5,12.5,-0.0611915456711396,-0.04788085471300661,-0.0611915456711396,1.0,meanrev,rsi,bin/symbol,,GE,
3,1,0,1,0,0,1.0,0.18444842499784708,0.18444842499784708,,,0.18444842499784708,0.18444842499784708,0.18444842499784708,inf,21.0,21.0,0.18444842499784708,0.18444842499784708,0.18444842499784708,1.0,meanrev,rsi,bin/symbol,,LLY,
3,1,0,1,0,0,1.0,0.00279795965155083,0.00279795965155083,,,0.00279795965155083,0.00279795965155083,0.00279795965155083,inf,13.0,13.0,0.00279795965155083,0.00279795965155083,0.00279795965155083,1.0,meanrev,rsi,bin/symbol,,MA,
3,2,0,1,1,0,0.5,0.054055197233185526,0.054055197233185526,-0.07538102799497814,-0.07538102799497814,-0.01066291538089631,-0.01066291538089631,-0.01066291538089631,0.7170928636949162,6.5,6.5,-0.07538102799497814,-0.06890921673356996,-0.07538102799497814,1.0,meanrev,rsi,bin/symbol,,PANW,
3,1,0,0,1,0,0.0,,,-0.086690138035727,-0.086690138035727,-0.086690138035727,-0.086690138035727,-0.086690138035727,0.0,3.0,3.0,-0.086690138035727,-0.086690138035727,-0.086690138035727,,meanrev,rsi,bin/symbol,,SHOP,
4,1,0,1,0,0,1.0,0.039319868057414054,0.039319868057414054,,,0.039319868057414054,0.039319868057414054,0.039319868057414054,inf,13.0,13.0,0.039319868057414054,0.039319868057414054,0.039319868057414054,1.0,meanrev,rsi,bin/symbol,,AAPL,
4,1,0,0,1,0,0.0,,,-0.014430185704441323,-0.014430185704441323,-0.014430185704441323,-0.014430185704441323,-0.014430185704441323,0.0,10.0,10.0,-0.014430185704441323,-0.014430185704441323,-0.014430185704441323,,meanrev,rsi,bin/symbol,,CAT,
4,1,0,1,0,0,1.0,0.024214218157369016,0.024214218157369016,,,0.024214218157369016,0.024214218157369016,0.024214218157369016,inf,12.0,12.0,0.024214218157369016,0.024214218157369016,0.024214218157369016,1.0,meanrev,rsi,bin/symbol,,CRWD,
4,1,0,1,0,0,1.0,0.3171267789982062,0.3171267789982062,,,0.3171267789982062,0.3171267789982062,0.3171267789982062,inf,29.0,29.0,0.3171267789982062,0.3171267789982062,0.3171267789982062,1.0,meanrev,rsi,bin/symbol,,GOOGL,
4,2,0,0,2,0,0.0,,,-0.02334548237306866,-0.02334548237306866,-0.02334548237306866,-0.02334548237306866,-0.02334548237306866,0.0,8.0,8.0,-0.02728160600758467,-0.02688799364413307,-0.02728160600758467,,meanrev,rsi,bin/symbol,,HD,
4,1,0,0,1,0,0.0,,,-0.04598734308652075,-0.04598734308652075,-0.04598734308652075,-0.04598734308652075,-0.04598734308652075,0.0,4.0,4.0,-0.04598734308652075,-0.04598734308652075,-0.04598734308652075,,meanrev,rsi,bin/symbol,,LLY,
4,1,0,1,0,0,1.0,0.01798394248784807,0.01798394248784807,,,0.01798394248784807,0.01798394248784807,0.01798394248784807,inf,9.0,9.0,0.01798394248784807,0.01798394248784807,0.01798394248784807,1.0,meanrev,rsi,bin/symbol,,MA,
4,1,0,1,0,0,1.0,0.0071421512395999365,0.0071421512395999365,,,0.0071421512395999365,0.0071421512395999365,0.0071421512395999365,inf,19.0,19.0,0.0071421512395999365,0.0071421512395999365,0.0071421512395999365,1.0,meanrev,rsi,bin/symbol,,META,
4,1,0,0,1,0,0.0,,,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,0.0,9.0,9.0,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,,meanrev,rsi,bin/symbol,,MRVL,
4,1,0,1,0,0,1.0,0.07284205647065445,0.07284205647065445,,,0.07284205647065445,0.07284205647065445,0.07284205647065445,inf,22.0,22.0,0.07284205647065445,0.07284205647065445,0.07284205647065445,1.0,meanrev,rsi,bin/symbol,,TSLA,
4,1,0,0,1,0,0.0,,,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,0.0,16.0,16.0,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,,meanrev,rsi,bin/symbol,,TSM,
5,2,0,0,2,0,0.0,,,-0.016236559632002157,-0.016236559632002157,-0.016236559632002157,-0.016236559632002157,-0.016236559632002157,0.0,4.0,4.0,-0.02874775392887874,-0.02749663449919108,-0.02874775392887874,,meanrev,rsi,bin/symbol,,AAPL,
5,1,0,1,0,0,1.0,0.07562377326068126,0.07562377326068126,,,0.07562377326068126,0.07562377326068126,0.07562377326068126,inf,9.0,9.0,0.07562377326068126,0.07562377326068126,0.07562377326068126,1.0,meanrev,rsi,bin/symbol,,CAT,
5,1,0,0,1,0,0.0,,,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,0.0,6.0,6.0,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,,meanrev,rsi,bin/symbol,,CRWD,
5,1,0,0,1,0,0.0,,,-0.00011654540743621933,-0.00011654540743621933,-0.00011654540743621933,-0.00011654540743621933,-0.00011654540743621933,0.0,6.0,6.0,-0.00011654540743621933,-0.00011654540743621933,-0.00011654540743621933,,meanrev,rsi,bin/symbol,,CVX,
5,1,0,1,0,0,1.0,0.03527910502502296,0.03527910502502296,,,0.03527910502502296,0.03527910502502296,0.03527910502502296,inf,6.0,6.0,0.03527910502502296,0.03527910502502296,0.03527910502502296,1.0,meanrev,rsi,bin/symbol,,DE,
5,1,0,1,0,0,1.0,0.06977126698815361,0.06977126698815361,,,0.06977126698815361,0.06977126698815361,0.06977126698815361,inf,21.0,21.0,0.06977126698815361,0.06977126698815361,0.06977126698815361,1.0,meanrev,rsi,bin/symbol,,JPM,
5,1,0,0,1,0,0.0,,,-0.019046627706606145,-0.019046627706606145,-0.019046627706606145,-0.019046627706606145,-0.019046627706606145,0.0,7.0,7.0,-0.019046627706606145,-0.019046627706606145,-0.019046627706606145,,meanrev,rsi,bin/symbol,,LLY,
5,1,0,1,0,0,1.0,0.08109252348947749,0.08109252348947749,,,0.08109252348947749,0.08109252348947749,0.08109252348947749,inf,21.0,21.0,0.08109252348947749,0.08109252348947749,0.08109252348947749,1.0,meanrev,rsi,bin/symbol,,NOW,
5,1,0,0,1,0,0.0,,,-0.03560928546578934,-0.03560928546578934,-0.03560928546578934,-0.03560928546578934,-0.03560928546578934,0.0,9.0,9.0,-0.03560928546578934,-0.03560928546578934,-0.03560928546578934,,meanrev,rsi,bin/symbol,,ORCL,
5,1,0,1,0,0,1.0,0.07469704448944636,0.07469704448944636,,,0.07469704448944636,0.07469704448944636,0.07469704448944636,inf,22.0,22.0,0.07469704448944636,0.07469704448944636,0.07469704448944636,1.0,meanrev,rsi,bin/symbol,,UBER,
1,1,1,0,1,0,0.0,,,-0.10417027794415878,-0.10417027794415878,-0.10417027794415878,-0.10417027794415878,-0.10417027794415878,0.0,2.0,2.0,-0.10417027794415878,-0.10417027794415878,-0.10417027794415878,,meanrev,rsi,bin/partition,,,ENTRY HOLDOUT / EXIT-USED HISTORY
1,10,0,6,4,0,0.6,0.05304919891265517,0.04353491467741022,-0.05931612724905544,-0.058051538436843686,0.00810306844797093,0.012781301320806904,0.00810306844797093,1.3415204609510294,11.5,10.5,-0.06718853304223316,-0.06354217356324937,-0.06718853304223316,0.9783093683377878,meanrev,rsi,bin/partition,,,IN-SAMPLE
2,2,0,1,1,0,0.5,0.128912119821051,0.128912119821051,-0.02330407598334827,-0.02330407598334827,0.05280402191885136,0.05280402191885136,0.05280402191885136,5.531741310540013,20.5,20.5,-0.02330407598334827,-0.01569326619312831,-0.02330407598334827,1.0,meanrev,rsi,bin/partition,,,ENTRY HOLDOUT / EXIT-USED HISTORY
2,8,0,3,5,0,0.375,0.05767154338332873,0.0434645867051171,-0.030282967394423488,-0.024303293320019015,0.002699974147233594,-0.015158570891894152,0.002699974147233594,1.142653082153675,10.75,10.0,-0.06005137675699679,-0.051893453681007576,-0.06005137675699679,1.0,meanrev,rsi,bin/partition,,,IN-SAMPLE
3,3,0,0,3,0,0.0,,,-0.07572274831263855,-0.07928656123104905,-0.07572274831263855,-0.07928656123104905,-0.07572274831263855,0.0,3.3333333333333335,3.0,-0.086690138035727,-0.08594978035525921,-0.086690138035727,,meanrev,rsi,bin/partition,,,ENTRY HOLDOUT / EXIT-USED HISTORY
3,8,0,6,2,0,0.75,0.08064252773501697,0.04225445956821794,-0.05382488992561624,-0.05382488992561624,0.04702567331985867,0.018765655517999136,0.04702567331985867,4.494715800429593,13.0,12.5,-0.07538102799497814,-0.06029173134642481,-0.07538102799497814,0.9942173612151134,meanrev,rsi,bin/partition,,,IN-SAMPLE
4,3,0,2,1,0,0.6666666666666666,0.17822332352781012,0.17822332352781012,-0.01940935873855265,-0.01940935873855265,0.11234576277235586,0.039319868057414054,0.11234576277235586,18.3646792177432,16.333333333333332,13.0,-0.01940935873855265,-0.013536436058955981,-0.01940935873855265,1.0,meanrev,rsi,bin/partition,,,ENTRY HOLDOUT / EXIT-USED HISTORY
4,9,0,4,5,0,0.4444444444444444,0.030545592088867868,0.021099080322608543,-0.033197339684386096,-0.03529946125913064,-0.004867147785162112,-0.014430185704441323,-0.004867147785162112,0.7360973470590371,12.222222222222221,10.0,-0.04598734308652075,-0.04478764679761369,-0.04598734308652075,1.0,meanrev,rsi,bin/partition,,,IN-SAMPLE
5,1,0,0,1,0,0.0,,,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,0.0,6.0,6.0,-0.057948482864196516,-0.057948482864196516,-0.057948482864196516,,meanrev,rsi,bin/partition,,,ENTRY HOLDOUT / EXIT-USED HISTORY
5,10,0,5,5,0,0.5,0.06729274265055633,0.07469704448944636,-0.017449115568767205,-0.019046627706606145,0.024921813540894566,0.01758127980879337,0.024921813540894566,3.8565130929046068,10.9,8.0,-0.03560928546578934,-0.03252159627417957,-0.03560928546578934,1.0,meanrev,rsi,bin/partition,,,IN-SAMPLE
1,11,1,6,5,0,0.5454545454545454,0.06530461413546344,0.0687871940504643,-0.04878597432335574,-0.05397289908030123,0.013445255745091084,0.006904023801538983,0.013445255745091084,1.6063128398983209,11.727272727272727,10.0,-0.07928656123104905,-0.0691860366044369,-0.07928656123104905,0.9823799489695635,meanrev,rsi_distance_from_avg,bin,,,
2,8,0,5,3,0,0.625,0.02504674376180498,0.01798394248784807,-0.04826389221259205,-0.05701756489586263,-0.002444744728593906,0.0035123937148864304,-0.002444744728593906,0.8649234660243683,13.625,13.5,-0.06718853304223316,-0.06362869419100348,-0.06718853304223316,1.0,meanrev,rsi_distance_from_avg,bin,,,
3,11,0,7,4,0,0.6363636363636364,0.09616163607538926,0.0490759380865573,-0.06097708633345125,-0.05549515673038374,0.039020282472174525,0.037993891268263136,0.039020282472174525,2.759772125084523,12.181818181818182,10.0,-0.10417027794415878,-0.08977565296956846,-0.10417027794415878,0.9075840102374804,meanrev,rsi_distance_from_avg,bin,,,
4,11,0,4,7,0,0.36363636363636365,0.05378298210822935,0.06344862685191999,-0.03803977726105905,-0.03674302511131333,-0.004649682944954179,-0.02330407598334827,-0.004649682944954179,0.8079209408183133,10.727272727272727,9.0,-0.0611915456711396,-0.060621461214068195,-0.0611915456711396,1.0,meanrev,rsi_distance_from_avg,bin,,,
5,14,0,5,9,0,0.35714285714285715,0.10276901078769915,0.07469704448944636,-0.03140594534863742,-0.01940935873855265,0.016513681842911354,-0.009077775519783449,0.016513681842911354,1.8179326954898416,10.142857142857142,8.0,-0.086690138035727,-0.06800806217423219,-0.086690138035727,1.0,meanrev,rsi_distance_from_avg,bin,,,
1,1,0,1,0,0,1.0,0.03527910502502296,0.03527910502502296,,,0.03527910502502296,0.03527910502502296,0.03527910502502296,inf,6.0,6.0,0.03527910502502296,0.03527910502502296,0.03527910502502296,1.0,meanrev,rsi_distance_from_avg,bin/year,2022.0,,
1,3,0,3,0,0,1.0,0.08209235919420917,0.10229528307590563,,,0.08209235919420917,0.10229528307590563,0.08209235919420917,inf,19.333333333333332,16.0,0.018658578840074824,0.027022249263657906,0.018658578840074824,1.0,meanrev,rsi_distance_from_avg,bin/year,2023.0,,
