bin,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit,module,feature,group_type,year,symbol,partition
1,11,1,6,5,0,0.5454545454545454,0.05304919891265517,0.04353491467741022,-0.06828695738807611,-0.059085511977824745,-0.002103599405859045,0.006904023801538983,-0.002103599405859045,0.932228365856318,10.636363636363637,10.0,-0.10417027794415878,-0.08567940549319597,-0.10417027794415878,0.9783093683377878,meanrev,rsi,bin,,,
2,10,0,4,6,0,0.4,0.0754816874927593,0.08439390118588208,-0.029119818825910953,-0.023803684651683643,0.012720783701557149,-0.015158570891894152,0.012720783701557149,1.7280713625318607,12.7,10.5,-0.06005137675699679,-0.049562618516439234,-0.06005137675699679,1.0,meanrev,rsi,bin,,,
3,11,0,6,5,0,0.5454545454545454,0.08064252773501697,0.04225445956821794,-0.06696360495782963,-0.07538102799497814,0.013548831056450338,0.00279795965155083,0.013548831056450338,1.4451287881374066,10.363636363636363,9.0,-0.086690138035727,-0.08298834963338803,-0.086690138035727,0.9942173612151134,meanrev,rsi,bin,,,
4,12,0,6,6,0,0.5,0.07977150256851528,0.031767043107391535,-0.03089934286008052,-0.03129053363335765,0.02443607985421738,-0.003644017232420693,0.02443607985421738,2.581656928101655,13.25,11.0,-0.04598734308652075,-0.044337760689273545,-0.04598734308652075,0.9850778974745908,meanrev,rsi,bin,,,
5,11,0,5,6,0,0.45454545454545453,0.06729274265055633,0.07469704448944636,-0.02419901011800542,-0.023897190817742442,0.01738815023134083,-0.00011654540743621933,0.01738815023134083,2.317337993110951,10.454545454545455,7.0,-0.057948482864196516,-0.04677888416499293,-0.057948482864196516,1.0,meanrev,rsi,bin,,,
1,1,0,0,1,0,0.0,,,-0.06718853304223316,-0.06718853304223316,-0.06718853304223316,-0.06718853304223316,-0.06718853304223316,0.0,5.0,5.0,-0.06718853304223316,-0.06718853304223316,-0.06718853304223316,,meanrev,rsi,bin/year,2022.0,,
1,3,0,3,0,0,1.0,0.052982584394747866,0.037993891268263136,,,0.052982584394747866,0.037993891268263136,0.052982584394747866,inf,17.666666666666668,13.0,0.018658578840074824,0.020592110082893654,0.018658578840074824,1.0,meanrev,rsi,bin/year,2023.0,,
1,4,0,2,2,0,0.5,0.05513575110256508,0.05513575110256508,-0.05549523198808193,-0.05549523198808193,-0.00017974044275842482,-0.023534437639381123,-0.00017974044275842482,0.9935223104285058,10.75,10.5,-0.05701756489586263,-0.05656086502352842,-0.05701756489586263,1.0,meanrev,rsi,bin/year,2024.0,,
1,3,0,1,2,0,0.3333333333333333,0.0490759380865573,0.0490759380865573,-0.08162789496099176,-0.08162789496099176,-0.038059950611808745,-0.059085511977824745,-0.038059950611808745,0.30060764221599523,5.333333333333333,4.0,-0.10417027794415878,-0.09966180134752538,-0.10417027794415878,1.0,meanrev,rsi,bin/year,2025.0,,
1,0,1,0,0,0,,,,,,,,,,,,,,,,meanrev,rsi,bin/year,2026.0,,
