configuration,atr_multiplier,use_locked_atr,use_trend_exit,wins,losses,win_rate,mean_return,median_return,average_win,average_loss,profit_factor,expectancy,trades,fills,censored,mean_R,median_R,valid_R,average_bars_held,trimmed_mean_return,mean_without_top_1,mean_without_top_3,mean_without_top_5
ATR2.5-DYNAMIC-TRENDON,2.5,False,True,223,324,0.4076782449725777,0.002932134284080534,-0.013197638432546288,0.07051215528356179,-0.04358127523099453,1.1135863745941654,0.002932134284080534,547,549,2,0.07220727202571353,-0.21675128175657282,547,12.06764168190128,-0.00780256802330925,0.0017724705782068307,4.1023231469121156e-05,-0.0011113542156276695
ATR2.5-DYNAMIC-TRENDOFF,2.5,False,False,227,318,0.41651376146788993,0.003251140759545414,-0.013232537858750226,0.07140154321260726,-0.045397102500973584,1.1227374286423053,0.003251140759545414,545,547,2,0.07497094622744849,-0.2265891732566028,545,12.622018348623854,-0.007631696559915099,0.002087799993127082,0.00035112711896568834,-0.0008043698598333319
ATR2.5-LOCKED-TRENDON,2.5,True,True,219,312,0.4124293785310734,0.0070890520488185145,-0.014175762461231756,0.08254553293163987,-0.045875593186238794,1.2629943383274258,0.0070890520488185145,531,534,3,0.11369354478399785,-0.2489106897645449,531,12.902071563088512,-0.008143064646682211,0.005187579923927717,0.002905383881876155,0.0011799549152388693
ATR1.5-DYNAMIC-TRENDON,1.5,False,True,254,419,0.3774145616641902,-0.0005027980864714575,-0.011876687860598478,0.0448591171734726,-0.02800142929417024,0.9711587248637861,-0.0005027980864714575,673,673,0,0.020550338121629184,-0.3067931053438987,673,5.485884101040119,-0.005844577334517005,-0.0011835476685945572,-0.0019064087361446984,-0.0025624786670129193
ATR1.75-DYNAMIC-TRENDON,1.75,False,True,250,394,0.38819875776397517,-0.00020371583919039275,-0.013321378545184281,0.05013660932927137,-0.032145546529838726,0.9896415773125973,-0.00020371583919039275,644,645,1,0.02543397795501204,-0.27763668250557627,644,6.798136645962733,-0.007111799005359594,-0.0009932733081427288,-0.0021866572503538573,-0.003022259970554241
ATR2-DYNAMIC-TRENDON,2.0,False,True,248,366,0.40390879478827363,0.0003951255998232316,-0.012667291702707584,0.05403019224493355,-0.03594776108866682,1.018439562266575,0.0003951255998232316,614,615,1,0.03178579108963229,-0.27213685288823286,614,8.423452768729641,-0.007163550418058347,-0.0003981847730930952,-0.0015835138949443603,-0.0025161363872231476
ATR2.25-DYNAMIC-TRENDON,2.25,False,True,235,346,0.4044750430292599,0.0019633118852794497,-0.01200897715837046,0.06148116824757503,-0.03846066570182882,1.085718099252939,0.0019633118852794497,581,582,1,0.05778330456497464,-0.23035565078065384,581,10.099827882960414,-0.006833122221139659,0.000912532632837314,-0.00026753972391554905,-0.001224751025809508
ATR3-DYNAMIC-TRENDON,3.0,False,True,189,296,0.38969072164948454,0.006415212521101786,-0.017281290123153048,0.09393446616185333,-0.049467013621134835,1.2124933695895352,0.006415212521101786,485,488,3,0.10906505147570474,-0.22426901358815546,485,16.874226804123712,-0.008406576758695007,0.00444797951974632,0.0021763185139027494,0.00016981453971276112
