timestamp,open,high,low,close,volume
2021-09-23,147.39999389648438,148.49600219726562,145.60000610351562,147.66000366210938,6196000
2021-09-24,147.343994140625,147.59500122070312,142.8000030517578,144.39999389648438,8684000
2021-09-27,143.60000610351562,145.1699981689453,141.42599487304688,144.38099670410156,7652000
2021-09-28,142.0,142.55499267578125,135.89999389648438,136.93099975585938,13280000
2021-09-29,138.10000610351562,139.2989959716797,134.11399841308594,134.65499877929688,10059000
2021-09-30,134.69500732421875,137.69900512695312,134.69500732421875,135.5780029296875,7658000
2021-10-01,136.24600219726562,136.98300170898438,133.9250030517578,135.0760040283203,7294000
2021-10-04,132.6320037841797,133.89999389648438,128.58999633789062,131.49000549316406,11739000
2021-10-05,131.24600219726562,135.60000610351562,131.24600219726562,131.80799865722656,7878000
2021-10-06,131.1719970703125,135.89999389648438,130.53700256347656,134.98800659179688,8602000
2021-10-07,137.2989959716797,140.64599609375,136.51699829101562,139.85000610351562,11086000
2021-10-08,141.7779998779297,142.89999389648438,137.23570251464844,137.80299377441406,8904000
2021-10-11,136.89999389648438,138.5489959716797,135.3000030517578,135.7010040283203,6229000
2021-10-12,136.99400329589844,137.8990020751953,135.10000610351562,135.7220001220703,5998000
2021-10-13,137.6999969482422,139.9510040283203,136.8679962158203,139.89700317382812,6402000
2021-10-14,141.31500244140625,142.6999969482422,140.17080688476562,140.6750030517578,6224000
2021-10-15,141.4810028076172,142.98699951171875,139.7050018310547,142.45799255371094,7320000
2021-10-18,142.5030059814453,146.6020050048828,141.8000030517578,146.51100158691406,8406000
2021-10-19,147.98500061035156,150.197998046875,147.0,148.57400512695312,7261000
2021-10-20,149.7949981689453,150.23159790039062,146.20199584960938,148.7469940185547,7125000
2021-10-21,147.22000122070312,150.6719970703125,147.22000122070312,149.67100524902344,6267000
2021-10-22,147.0,147.2949981689453,140.447998046875,142.5850067138672,15291000
2021-10-25,142.88800048828125,143.89999389648438,139.50100708007812,142.51600646972656,8001000
2021-10-26,142.8000030517578,143.01499938964844,135.77099609375,136.3699951171875,12910000
2021-10-27,136.39999389648438,137.9167022705078,133.61099243164062,136.11199951171875,14520000
2021-10-28,135.00399780273438,150.4709930419922,132.85400390625,145.6999969482422,37595000
2021-10-29,143.5,148.81700134277344,141.98199462890625,146.67300415039062,12632000
2021-11-01,146.50999450683594,153.17599487304688,146.0,152.76199340820312,15488000
2021-11-02,152.3000030517578,153.40199279785156,147.1020050048828,147.66400146484375,9064000
2021-11-03,149.5330047607422,149.71800231933594,145.2050018310547,149.53399658203125,7089000
2021-11-04,151.5290069580078,154.92100524902344,149.5500030517578,154.05599975585938,9932000
2021-11-05,153.5,154.99989318847656,151.01800537109375,152.80599975585938,6538000
2021-11-08,154.0,156.43299865722656,152.20010375976562,153.3769989013672,7644000
2021-11-09,154.60000610351562,156.3050994873047,151.9810028076172,155.48500061035156,5945000
2021-11-10,153.74000549316406,154.48699951171875,147.0,147.39999389648438,6922000
2021-11-11,150.0500030517578,151.1999969482422,149.0,149.03399658203125,5458000
2021-11-12,152.0970001220703,167.47850036621094,151.00100708007812,166.95199584960938,28396000
2021-11-15,165.33999633789062,170.43899536132812,163.25100708007812,165.64999389648438,14730000
2021-11-16,163.0,171.4510040283203,162.8509979248047,167.53199768066406,9160000
2021-11-17,165.80999755859375,167.67880249023438,163.56520080566406,163.781005859375,6078000
2021-11-18,164.60000610351562,169.7550048828125,163.7209930419922,168.1300048828125,9685000
2021-11-19,171.8000030517578,176.2917938232422,168.50950622558594,169.05999755859375,15061000
2021-11-22,170.1009979248047,170.35000610351562,158.052001953125,159.50100708007812,13559000
2021-11-23,158.80099487304688,161.36399841308594,153.21200561523438,157.30599975585938,10588000
2021-11-24,155.54100036621094,164.20199584960938,154.12399291992188,162.8699951171875,9714000
2021-11-26,165.0,166.1269989013672,157.6230010986328,157.6699981689453,7558000
2021-11-29,157.73199462890625,158.3470001220703,152.4709930419922,156.70199584960938,11188000
2021-11-30,160.0500030517578,162.99380493164062,151.66400146484375,152.1790008544922,16144000
