timestamp,open,high,low,close,volume
2021-09-23,229.3000030517578,234.1999969482422,229.00999450683594,232.17999267578125,1912300
2021-09-24,232.77000427246094,235.38999938964844,231.33999633789062,231.67999267578125,1642500
2021-09-27,229.97000122070312,231.05999755859375,225.61000061035156,226.39999389648438,2785900
2021-09-28,226.38999938964844,226.39999389648438,220.1999969482422,221.60000610351562,3583300
2021-09-29,225.41000366210938,231.44000244140625,224.55999755859375,230.36000061035156,3971000
2021-09-30,232.77999877929688,237.16000366210938,230.8000030517578,231.0500030517578,3786100
2021-10-01,231.0,231.67999267578125,225.4499969482422,229.58999633789062,2215700
2021-10-04,227.8000030517578,230.19000244140625,224.22000122070312,224.85000610351562,4784700
2021-10-05,226.44000244140625,232.55999755859375,226.1699981689453,230.92999267578125,2802000
2021-10-06,230.55999755859375,230.85000610351562,226.0500030517578,227.85000610351562,2462700
2021-10-07,229.1199951171875,234.11000061035156,229.0,233.17999267578125,2001800
2021-10-08,233.4199981689453,235.80999755859375,231.5500030517578,233.94000244140625,2563000
2021-10-11,236.6999969482422,237.99000549316406,233.60000610351562,233.6699981689453,1892300
2021-10-12,234.6999969482422,235.07000732421875,231.97999572753906,232.77999877929688,1719200
2021-10-13,234.07000732421875,237.9199981689453,232.8000030517578,236.44000244140625,2105700
2021-10-14,237.00999450683594,238.44000244140625,234.11000061035156,236.69000244140625,1824700
2021-10-15,237.4199981689453,239.3000030517578,235.82000732421875,237.8800048828125,2598300
2021-10-18,237.9499969482422,242.66000366210938,236.6999969482422,238.97999572753906,2546000
2021-10-19,239.05999755859375,242.5500030517578,239.05999755859375,242.30999755859375,1573200
2021-10-20,243.72999572753906,245.89999389648438,243.0399932861328,243.72000122070312,1537500
2021-10-21,244.9499969482422,244.9499969482422,239.8300018310547,241.1699981689453,1717700
2021-10-22,240.9600067138672,244.0399932861328,239.55999755859375,243.75,1960700
2021-10-25,244.66000366210938,246.27000427246094,240.52000427246094,245.0500030517578,2763100
2021-10-26,244.5,248.9199981689453,237.08999633789062,248.44000244140625,4533000
2021-10-27,248.61000061035156,254.4600067138672,248.32000732421875,250.1699981689453,3181300
2021-10-28,250.16000366210938,256.75,250.0800018310547,253.35000610351562,3386500
2021-10-29,253.77999877929688,256.4700012207031,251.77000427246094,254.75999450683594,3152000
2021-11-01,255.11000061035156,256.4800109863281,248.0500030517578,249.30999755859375,2735800
2021-11-02,251.25,259.29998779296875,249.39999389648438,256.8500061035156,3987800
2021-11-03,257.7699890136719,266.7900085449219,257.760009765625,266.260009765625,4382900
2021-11-04,265.4800109863281,271.1099853515625,265.2699890136719,271.0,4133400
2021-11-05,268.989990234375,269.489990234375,258.55999755859375,265.0,3745700
2021-11-08,263.989990234375,266.9100036621094,259.1499938964844,260.5299987792969,2386100
2021-11-09,260.5299987792969,262.1600036621094,258.3900146484375,262.0199890136719,1963800
2021-11-10,262.0,266.0,261.6000061035156,264.6499938964844,2215100
2021-11-11,262.32000732421875,264.32000732421875,261.95001220703125,262.6300048828125,1739400
2021-11-12,261.7799987792969,262.5199890136719,258.92999267578125,259.6499938964844,1964000
2021-11-15,259.3900146484375,259.6099853515625,257.1600036621094,258.42999267578125,1903200
2021-11-16,256.9599914550781,260.3500061035156,255.99000549316406,257.7200012207031,2565700
2021-11-17,256.80999755859375,264.54998779296875,256.07000732421875,261.17999267578125,2873600
2021-11-18,262.0,263.79998779296875,259.82000732421875,261.3299865722656,1689200
2021-11-19,266.42999267578125,270.79998779296875,260.29998779296875,260.70001220703125,2786800
2021-11-22,262.2200012207031,263.989990234375,259.1300048828125,260.44000244140625,1995400
2021-11-23,259.4700012207031,262.760009765625,259.25,261.9599914550781,1986200
2021-11-24,262.7699890136719,264.94000244140625,260.04998779296875,262.0,2518500
2021-11-26,261.79998779296875,265.8800048828125,259.0299987792969,260.3699951171875,1495500
2021-11-29,260.0199890136719,262.32000732421875,254.5,254.8300018310547,4041700
2021-11-30,253.27000427246094,254.0,246.47999572753906,248.0399932861328,8265900
2021-12-01,249.44000244140625,255.3000030517578,247.88999938964844,249.1300048828125,3241400
2021-12-02,246.52000427246094,249.97999572753906,245.1199951171875,247.8800048828125,3817700
2021-12-03,252.1300048828125,253.47999572753906,243.0800018310547,245.5800018310547,4169700
2021-12-06,245.9199981689453,246.94000244140625,241.52999877929688,246.3300018310547,3491200
2021-12-07,244.24000549316406,245.44000244140625,241.4499969482422,245.11000061035156,4035800
2021-12-08,246.61000061035156,248.17999267578125,239.47000122070312,244.32000732421875,3636200
2021-12-09,244.49000549316406,245.91000366210938,242.75,242.89999389648438,2291100
2021-12-10,241.1999969482422,244.58999633789062,241.1999969482422,244.13999938964844,2380800
2021-12-13,245.50999450683594,250.6999969482422,245.4600067138672,248.52999877929688,3016700
2021-12-14,247.74000549316406,250.00999450683594,246.38999938964844,249.3800048828125,3424000
2021-12-15,262.07000732421875,275.5400085449219,257.2099914550781,275.2799987792969,10016700
2021-12-16,275.6700134277344,283.8999938964844,272.04998779296875,279.0400085449219,5546400
2021-12-17,276.6700134277344,276.6700134277344,265.3299865722656,267.4200134277344,7582900
2021-12-20,269.2300109863281,270.010009765625,260.3500061035156,263.4800109863281,3479400
2021-12-21,264.0,265.95001220703125,260.57000732421875,264.8800048828125,2702500
2021-12-22,264.739990234375,266.55999755859375,262.8500061035156,266.5,2721000
2021-12-23,269.04998779296875,275.2699890136719,266.67999267578125,273.1000061035156,2632200
2021-12-27,275.0400085449219,280.29998779296875,274.7200012207031,278.4100036621094,1677100
2021-12-28,279.3399963378906,279.3999938964844,275.8900146484375,276.42999267578125,1033900
2021-12-29,275.82000732421875,279.3599853515625,275.739990234375,278.4200134277344,1112300
2021-12-30,279.19000244140625,280.6499938964844,276.3699951171875,277.25,1181500
2021-12-31,277.4700012207031,278.7300109863281,276.010009765625,276.2200012207031,1315700
2022-01-03,274.4100036621094,274.4100036621094,267.05999755859375,271.7300109863281,2621300
2022-01-04,269.0,269.8800048828125,263.5799865722656,266.80999755859375,2340500
2022-01-05,268.1600036621094,268.7699890136719,260.4200134277344,260.6499938964844,3004200
2022-01-06,260.1000061035156,261.29998779296875,255.4600067138672,259.3299865722656,2863200
2022-01-07,259.739990234375,261.25,256.7099914550781,259.5,2245100
2022-01-10,258.19000244140625,260.1600036621094,255.88999938964844,260.1099853515625,2576700
