module,scenario,partition,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,baseline,BOUNDARY / CENSORED,12,0,6,6,0,0.5,0.07328093585663986,0.019337056424044707,-0.02802340169741313,-0.023627060126588773,0.022628767079613366,-0.006243952356289328,0.022628767079613366,2.6149907369526986,12.916666666666666,11.5,-0.04580156887576692,-0.043803831178199346,-0.04580156887576692,0.9983064418745318
breakout,baseline,ENTRY HOLDOUT / EXIT-USED HISTORY,124,2,44,80,0,0.3548387096774194,0.07909804150898929,0.04304738144011577,-0.04922847705909767,-0.04602000918134164,-0.0036932607930023004,-0.020237842604293788,-0.0036932607930023004,0.883714578001644,11.209677419354838,9.0,-0.21953813037602288,-0.08968605167514226,-0.12290598073343549,0.380054357949233
breakout,baseline,IN-SAMPLE,411,0,173,238,0,0.4209245742092457,0.06823243460519603,0.0387848477951076,-0.042075271428277036,-0.03794997738174871,0.004355952765861258,-0.011702672274488068,0.004355952765861258,1.1787808922178649,12.30170316301703,10.0,-0.16202942358134653,-0.08031121657386336,-0.1065324993013672,0.18045701434600192
breakout,breakeven_1,BOUNDARY / CENSORED,9,0,3,1,5,0.3333333333333333,0.013139581998086994,0.0181347150259068,-0.047484732394250884,-0.047484732394250884,-0.0008962207111099888,0.0,-0.0008962207111099888,0.8301351614868431,6.444444444444445,5.0,-0.047484732394250884,-0.02849083943655053,-0.047484732394250884,1.0
breakout,breakeven_1,ENTRY HOLDOUT / EXIT-USED HISTORY,152,1,25,70,57,0.16447368421052633,0.07776850502650567,0.04353303278555676,-0.03942536198800014,-0.03731731142929251,-0.005365544167745842,0.0,-0.005365544167745842,0.7044822084157039,5.756578947368421,3.0,-0.21953813037602288,-0.0754486280048022,-0.1040315148653686,0.5944992694834399
breakout,breakeven_1,IN-SAMPLE,486,0,109,195,182,0.2242798353909465,0.0652140016054611,0.03313761255300829,-0.031289735481833246,-0.020979020979020935,0.0020716620494604463,0.0,0.0020716620494604463,1.1650131962518488,6.744855967078189,4.0,-0.16202942358134653,-0.065212926956324,-0.09173689327285084,0.2261132960592251
breakout,breakeven_2,BOUNDARY / CENSORED,10,0,4,3,3,0.4,0.04792705848911072,0.019337056424044707,-0.028976476060495176,-0.02507724498470143,0.010477880577495735,0.0,0.010477880577495735,2.205331818773811,9.1,8.5,-0.042169318516553145,-0.03447788542721987,-0.042169318516553145,1.0
breakout,breakeven_2,ENTRY HOLDOUT / EXIT-USED HISTORY,140,1,33,65,42,0.2357142857142857,0.08054424839219866,0.04353303278555676,-0.04994784683216748,-0.047494177576379304,-0.004204641765345215,0.0,-0.004204641765345215,0.8186878500484761,8.071428571428571,5.0,-0.21953813037602288,-0.08559707395008814,-0.12207712220738945,0.4859976009966046
breakout,breakeven_2,IN-SAMPLE,448,0,139,198,111,0.31026785714285715,0.0660042328854473,0.033845785141541684,-0.03820539746823703,-0.034072959671518854,0.003593570697246074,0.0,0.003593570697246074,1.2128209094789022,9.200892857142858,6.0,-0.16202942358134653,-0.07251616171364031,-0.10169888352191621,0.19398895422847692
breakout,breakeven_3,BOUNDARY / CENSORED,11,0,4,4,3,0.36363636363636365,0.06164682698081719,0.019337056424044707,-0.025040491510058938,-0.02238005483246619,0.013311394716639365,0.0,0.013311394716639365,2.461885660513223,10.909090909090908,10.0,-0.042169318516553145,-0.03362328175062729,-0.042169318516553145,1.0
breakout,breakeven_3,ENTRY HOLDOUT / EXIT-USED HISTORY,135,1,35,67,33,0.25925925925925924,0.08097921459424008,0.04353303278555676,-0.049645515711262876,-0.046174985774201094,-0.0036442743841200646,0.0,-0.0036442743841200646,0.8520925642925461,9.118518518518519,6.0,-0.21953813037602288,-0.08441113188390162,-0.11961979195382036,0.4557650241241837
breakout,breakeven_3,IN-SAMPLE,433,0,152,209,72,0.3510392609699769,0.06505642937277357,0.035652529379707754,-0.041753004648086844,-0.03766905851074254,0.002684063032820858,0.0,0.002684063032820858,1.1331823234122758,10.367205542725173,7.0,-0.16202942358134653,-0.07886491169451322,-0.10650322930785223,0.1799822922901453
breakout,breakeven_4,BOUNDARY / CENSORED,11,0,4,5,2,0.36363636363636365,0.06164682698081719,0.019337056424044707,-0.02446776826174237,-0.022176875268476115,0.0112953151467779,0.0,0.0112953151467779,2.015609313325326,11.090909090909092,10.0,-0.042169318516553145,-0.03362328175062729,-0.042169318516553145,1.0
breakout,breakeven_4,ENTRY HOLDOUT / EXIT-USED HISTORY,135,1,36,75,24,0.26666666666666666,0.07991206224702993,0.04304738144011577,-0.04817981530095352,-0.045426962689717465,-0.005456680790210634,-0.010359809166845868,-0.005456680790210634,0.7961381677985643,9.444444444444445,7.0,-0.21953813037602288,-0.08565128293813681,-0.12036843128180237,0.4490221441668927
breakout,breakeven_4,IN-SAMPLE,424,0,159,213,52,0.375,0.06548004077973447,0.03592261275129083,-0.04300886972379103,-0.037901375017951655,0.002949144417005401,-0.0016595298302783945,0.002949144417005401,1.1364973637958709,11.13679245283019,9.0,-0.16202942358134653,-0.07891975559361931,-0.10650322930785223,0.17470984382731145
breakout,early_3,BOUNDARY / CENSORED,12,0,6,6,0,0.5,0.07328093585663986,0.019337056424044707,-0.02802340169741313,-0.023627060126588773,0.022628767079613366,-0.006243952356289328,0.022628767079613366,2.6149907369526986,12.916666666666666,11.5,-0.04580156887576692,-0.043803831178199346,-0.04580156887576692,0.9983064418745318
breakout,early_3,ENTRY HOLDOUT / EXIT-USED HISTORY,131,2,40,91,0,0.3053435114503817,0.08349231650980174,0.04304738144011577,-0.04539056688242158,-0.04054486304388594,-0.006037014701590028,-0.02088257969042362,-0.006037014701590028,0.8085362634935627,9.908396946564885,7.0,-0.21953813037602288,-0.08820646980041541,-0.12837776010546137,0.39605693435195
breakout,early_3,IN-SAMPLE,418,0,169,249,0,0.4043062200956938,0.06906596979836335,0.04001896200604449,-0.03934319166624618,-0.03404631188843721,0.004487306629253843,-0.012705473685621582,0.004487306629253843,1.191466629888207,11.739234449760765,9.0,-0.1437077899233894,-0.07974777792993672,-0.10304967644812135,0.18249876063569884
breakout,lock25_1,BOUNDARY / CENSORED,8,0,7,1,0,0.875,0.007780344852020583,0.005243671281124129,-0.047484732394250884,-0.047484732394250884,0.0008722101962366502,0.00522942812286753,0.0008722101962366502,1.1469457911641934,5.5,4.5,-0.047484732394250884,-0.03040830436289885,-0.047484732394250884,0.914413611351871
breakout,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,156,1,87,69,0,0.5576923076923077,0.02700301361760851,0.009352442052620757,-0.03957495226935616,-0.037729375520681896,-0.0024449328323950937,0.0032730669895446596,-0.0024449328323950937,0.8603239192269846,4.858974358974359,3.0,-0.21953813037602288,-0.07527413858474258,-0.1034056401727162,0.47578527597913306
breakout,lock25_1,IN-SAMPLE,521,0,336,184,1,0.6449136276391555,0.01982770375457227,0.006576485932473952,-0.03297250775181644,-0.023962157344467216,0.001142355153938692,0.0035770699604820155,0.001142355153938692,1.0981000133969763,5.301343570057582,3.0,-0.16202942358134653,-0.062293147043900654,-0.08956708230919955,0.22468124338864703
breakout,lock25_2,BOUNDARY / CENSORED,9,0,6,3,0,0.6666666666666666,0.03368177676634591,0.009401459283987945,-0.028976476060495176,-0.02507724498470143,0.012795692490732214,0.005243671281124129,0.012795692490732214,2.324766938258974,8.666666666666666,6.0,-0.042169318516553145,-0.03533248910381246,-0.042169318516553145,0.9741938348403786
breakout,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,151,0,84,67,0,0.5562913907284768,0.035057509524567786,0.012554864963812529,-0.05129906501294385,-0.05136536844280126,-0.003259646064924134,0.005689098248287561,-0.003259646064924134,0.8567933645052427,6.642384105960265,4.0,-0.21953813037602288,-0.08452603194126107,-0.11751576095052557,0.43865415942763336
