module,scenario,group,removed,passed,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,baseline,year,2021,True,522,2,217,305,0,0.4157088122605364,0.07154155473203333,0.04001896200604449,-0.04365150135572478,-0.039527259271541326,0.004235267171178497,-0.01244594228933521,0.004235267171178497,1.1660551273709472,12.24904214559387,10.0,-0.21953813037602288,-0.08388543319543104,-0.11102517328955643,0.14211272303717376
breakout,baseline,year,2022,True,513,2,211,302,0,0.41130604288499023,0.07129172671445862,0.04001896200604449,-0.04438485338291221,-0.040605313668437504,0.0031936230314060033,-0.013232537858750226,0.0031936230314060033,1.1222247856111822,12.130604288499026,10.0,-0.21953813037602288,-0.08364250603125944,-0.11232485443521162,0.1466660108963118
breakout,baseline,year,2023,True,435,2,176,259,0,0.4045977011494253,0.06928507452010324,0.042563604448797365,-0.04410587625419469,-0.04030578702479637,0.0017718417602338998,-0.013232537858750226,0.0017718417602338998,1.0674711280985978,11.8,9.0,-0.21953813037602288,-0.08567569799207658,-0.11385581052363145,0.12621005626801166
breakout,baseline,year,2024,True,380,2,144,236,0,0.37894736842105264,0.07320894553513402,0.039742942960471095,-0.04430773028838736,-0.040605313668437504,0.0002249047605260036,-0.015355377231199896,0.0002249047605260036,1.0081731738805115,11.781578947368422,9.5,-0.21953813037602288,-0.08399145321655277,-0.11480154723445354,0.20393076814341268
breakout,baseline,year,2025,True,432,2,179,253,0,0.41435185185185186,0.07012885126086664,0.034945492122656185,-0.04310342432438917,-0.039527259271541326,0.0038145787537608063,-0.012005248909276234,0.0038145787537608063,1.1511116812087487,12.136574074074074,10.0,-0.21953813037602288,-0.08527962485240534,-0.11055658513337359,0.17575241966685765
breakout,baseline,year,2026,True,453,0,188,265,0,0.41501103752759383,0.06789710520891917,0.03792227858091435,-0.04188120598909168,-0.03799857974554577,0.0036780048392218746,-0.012789679649683805,0.0036780048392218746,1.1501223815564277,12.218543046357615,10.0,-0.16202942358134653,-0.07916534382615151,-0.10435454875148487,0.166878977725324
breakout,baseline,symbol,AAPL,True,532,2,216,316,0,0.40601503759398494,0.07132692636742011,0.03847131830736916,-0.04399402691007486,-0.04034482936957384,0.002828014270261445,-0.013473423412262042,0.002828014270261445,1.1082212211555085,11.941729323308271,10.0,-0.21953813037602288,-0.08441207856606933,-0.11196707567585705,0.14320026049888443
breakout,baseline,symbol,ABNB,True,543,2,219,324,0,0.40331491712707185,0.07124602600293346,0.04001896200604449,-0.04358127523099453,-0.04012459533558277,0.0027302882500924485,-0.013714308965773858,0.0027302882500924485,1.1049937350233072,12.005524861878452,10.0,-0.21953813037602288,-0.08386334890777908,-0.11096494859754368,0.14139899053504884
breakout,baseline,symbol,AMD,True,538,2,218,320,0,0.4052044609665427,0.07039535499823991,0.0375730209800359,-0.04340270824256416,-0.039866796386779424,0.002708774631962391,-0.013473423412262042,0.002708774631962391,1.1049272622467516,12.074349442379182,10.0,-0.21953813037602288,-0.08353208459299963,-0.11172820883176769,0.14376414038545196
breakout,baseline,symbol,AMZN,True,534,2,220,314,0,0.41198501872659177,0.07110837965661548,0.039401904900576046,-0.04380403620648229,-0.04027048466844407,0.0035381575947939477,-0.012705473685621582,0.0035381575947939477,1.1373645452750045,12.091760299625468,10.0,-0.21953813037602288,-0.08429995388096126,-0.11196707567585705,0.1410287334319942
