module,scenario,removed_top,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,baseline,0,547,0,223,324,0,0.4076782449725777,0.07051215528356179,0.0387848477951076,-0.04358127523099453,-0.04012459533558277,0.002932134284080534,-0.013197638432546288,0.002932134284080534,1.1135863745941654,12.06764168190128,10.0,-0.21953813037602288,-0.08377501175717122,-0.11096494859754368,0.14030792962673477
breakout,baseline,1,546,0,222,324,0,0.4065934065934066,0.06796442392136558,0.03847131830736916,-0.04358127523099453,-0.04012459533558277,0.0017724705782068352,-0.013215088145648257,0.0017724705782068352,1.0685372592641917,11.967032967032967,10.0,-0.21953813037602288,-0.08379709604482319,-0.11096494859754368,0.1229636698832421
breakout,baseline,3,544,0,220,324,0,0.40441176470588236,0.06428477187618833,0.03792227858091435,-0.04358127523099453,-0.04012459533558277,4.102323146912646e-05,-0.013473423412262042,4.102323146912646e-05,1.0015804611437191,11.955882352941176,10.0,-0.21953813037602288,-0.08384126462012712,-0.11096494859754368,0.10344232259311034
breakout,baseline,5,542,0,218,324,0,0.4022140221402214,0.06200907885308271,0.0375730209800359,-0.04358127523099453,-0.04012459533558277,-0.0011113542156276708,-0.013723149125286993,-0.0011113542156276708,0.9573413759143168,11.861623616236162,10.0,-0.21953813037602288,-0.08388543319543104,-0.11096494859754368,0.09914605613853321
breakout,breakeven_1,0,647,0,137,266,244,0.2117465224111283,0.06636465362519826,0.03481326162221077,-0.03349157327260054,-0.024356081695127707,0.0002831515550856555,0.0,0.0002831515550856555,1.0205639266498845,6.508500772797527,4.0,-0.21953813037602288,-0.06756488942758254,-0.09518769041723417,0.19284824462976582
breakout,breakeven_1,1,646,0,136,266,244,0.21052631578947367,0.06254201333374121,0.03397543708760953,-0.03349157327260054,-0.024356081695127707,-0.0006239081689209574,0.0,-0.0006239081689209574,0.954758603283252,6.489164086687307,4.0,-0.21953813037602288,-0.0675943789349267,-0.09518769041723417,0.16651548424071536
breakout,breakeven_1,3,644,0,134,266,244,0.2080745341614907,0.05866671464444842,0.03305626387986005,-0.03349157327260054,-0.024356081695127707,-0.0016264265965149935,0.0,-0.0016264265965149935,0.8824282048647736,6.472049689440993,4.0,-0.21953813037602288,-0.06765335794961502,-0.09518769041723417,0.1576853468566199
breakout,breakeven_1,5,642,0,132,266,244,0.205607476635514,0.05559537495099955,0.03294806638318959,-0.03349157327260054,-0.024356081695127707,-0.0024457461012146464,0.0,-0.0024457461012146464,0.8237499648629932,6.358255451713395,4.0,-0.21953813037602288,-0.06771233696430334,-0.09518769041723417,0.15108490227989912
breakout,breakeven_2,0,598,0,176,266,156,0.29431438127090304,0.06831964092031916,0.034879376872433476,-0.04097070740971167,-0.037785216764347096,0.0018830244665432585,0.0,0.0018830244665432585,1.1033241991092622,8.934782608695652,6.0,-0.21953813037602288,-0.07784880894822206,-0.10738913552652268,0.15560466234868778
breakout,breakeven_2,1,597,0,175,266,156,0.2931323283082077,0.06536007467835893,0.03481326162221077,-0.04097070740971167,-0.037785216764347096,0.0009041958085921456,0.0,0.0009041958085921456,1.0495315275007089,8.917922948073702,6.0,-0.21953813037602288,-0.07789697615578126,-0.10738913552652268,0.13707944821363854
