module,scenario,symbol,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,lock25_1,LLY,24,0,15,8,1,0.625,0.02657937992914487,0.006695458911518681,-0.03566399622670674,-0.034958663621505626,0.004724113713479962,0.004811501081700698,0.004724113713479962,1.3973851121548466,5.458333333333333,3.0,-0.07505602680966805,-0.056516318649580274,-0.06582152817055426,0.845687487927577
breakout,lock25_1,MA,10,0,6,4,0,0.6,0.010504369704997721,0.005301318604302385,-0.03068939058969805,-0.030298895215993438,-0.005973134412880587,0.0030825667792976352,-0.005973134412880587,0.5134202489763942,6.9,5.0,-0.04054486304388594,-0.03615906228838973,-0.04054486304388594,0.9575939414327391
breakout,lock25_1,META,15,0,8,7,0,0.5333333333333333,0.008201961737808128,0.00880726005368715,-0.04698604471072233,-0.05108438615375532,-0.017552441271506087,0.0013481083622686185,-0.017552441271506087,0.19949903455814633,5.4,4.0,-0.0671520363247643,-0.06396263133568092,-0.0671520363247643,0.848446437641822
breakout,lock25_1,MRVL,17,0,7,10,0,0.4117647058823529,0.06599933912111682,0.017520648902937586,-0.023869484153733456,-0.007021599332214468,0.013135325430028422,-0.0012117768538602025,0.013135325430028422,1.9355063179090801,3.2941176470588234,2.0,-0.0903728255254288,-0.06630240354785596,-0.0903728255254288,0.9731089454624164
breakout,lock25_1,MS,13,0,7,6,0,0.5384615384615384,0.011127865906649794,0.007722057385574965,-0.03698717696166567,-0.04471453800399844,-0.011079076955649648,0.002713261353333829,-0.011079076955649648,0.3510003003981656,4.615384615384615,3.0,-0.055832908578413054,-0.055653629087495535,-0.055832908578413054,0.9287239269450785
breakout,lock25_1,MSFT,10,0,5,5,0,0.5,0.024508638518423664,0.007110338031729446,-0.024575763873593837,-0.03190668280768594,-3.356267758508613e-05,0.0011519898726569666,-3.356267758508613e-05,0.9972686360629345,6.5,3.0,-0.04757766223185411,-0.044765607926409434,-0.04757766223185411,1.0
breakout,lock25_1,MU,19,0,12,7,0,0.631578947368421,0.01913365918776126,0.011848166447445796,-0.020264253743837383,-0.0069331905660307,0.00461863863401439,0.004758129514746523,0.00461863863401439,1.618641328825928,4.894736842105263,3.0,-0.0971560194190807,-0.02357326823873593,-0.0971560194190807,0.7980242510776865
breakout,lock25_1,NFLX,15,0,12,3,0,0.8,0.009579879140956038,0.006487350044921292,-0.031802910240720274,-0.04159690800342486,0.0013033212646207752,0.0042567162732478625,0.0013033212646207752,1.2049059747607642,5.666666666666667,3.0,-0.04926283568358192,-0.043896686307471976,-0.04926283568358192,0.7422342457561336
breakout,lock25_1,NKE,1,0,0,1,0,0.0,,,-0.049813119429830244,-0.049813119429830244,-0.049813119429830244,-0.049813119429830244,-0.049813119429830244,0.0,5.0,5.0,-0.049813119429830244,-0.049813119429830244,-0.049813119429830244,
breakout,lock25_1,NOW,7,0,6,1,0,0.8571428571428571,0.012999339236982821,0.0036432689845043997,-0.0021153497255778086,-0.0021153497255778086,0.010840097956617016,0.002376676140344758,0.010840097956617016,36.87146124293574,4.714285714285714,3.0,-0.0021153497255778086,-0.0009840762995025785,-0.0021153497255778086,0.9787737711831418
breakout,lock25_1,NVDA,25,0,20,5,0,0.8,0.00920778623841818,0.005697145720758412,-0.031941020466928996,-0.02862897753809357,0.000978024897348746,0.004707104275041285,0.000978024897348746,1.1530985677745285,3.12,3.0,-0.059134127298469896,-0.033315115757256764,-0.04681038880525873,0.5621742047236423
breakout,lock25_1,ORCL,11,0,8,3,0,0.7272727272727273,0.010244129487632758,0.007933264798372863,-0.037705295332988865,-0.04366928381859325,-0.002832986372536776,0.005045098582618479,-0.002832986372536776,0.7245050964973281,4.909090909090909,4.0,-0.06111506169780312,-0.052392172758198186,-0.06111506169780312,0.896422047706056
breakout,lock25_1,PANW,19,0,14,5,0,0.7368421052631579,0.009654908885230224,0.007420282145129131,-0.007237304474213113,-0.007882180251558402,0.005209589580113557,0.005522214050838192,0.005209589580113557,3.7353333654770564,3.9473684210526314,3.0,-0.013561303594240792,-0.009058044974962176,-0.013561303594240792,0.6162679770737769
breakout,lock25_1,PLTR,15,0,9,6,0,0.6,0.016021821810118266,0.009221310607743893,-0.020664606206879804,-0.010891581163549935,0.001347250603319039,0.004535355118159279,0.001347250603319039,1.1629901133647667,3.8,2.0,-0.07317710799943022,-0.035025834187914884,-0.07317710799943022,0.8282257659612589
breakout,lock25_1,QCOM,8,0,5,3,0,0.625,0.015957663843345005,0.011777697445214619,-0.007974672745409491,-0.01001104827457111,0.006983037622562069,0.006062373525920428,0.006983037622562069,3.3350718273530013,4.5,2.0,-0.011551054983573339,-0.01101205263542256,-0.011551054983573339,1.0
breakout,lock25_1,ROKU,6,0,2,4,0,0.3333333333333333,0.03739699223173221,0.03739699223173221,-0.047835297261360876,-0.04467596186717443,-0.019424534096996515,-0.03796066526046449,-0.019424534096996515,0.39089327727393214,6.166666666666667,2.5,-0.06608532144735979,-0.06189762535480853,-0.06608532144735979,1.0
breakout,lock25_1,RTX,15,0,11,4,0,0.7333333333333333,0.005362899070673777,0.004046244370565111,-0.021909478869621135,-0.01695044958172648,-0.0019097350467381998,0.003389189502760237,-0.0019097350467381998,0.6731320508404184,3.8,3.0,-0.05185025265236942,-0.03753922484265302,-0.05185025265236942,0.7108578709898682
breakout,lock25_1,SHOP,14,0,8,6,0,0.5714285714285714,0.03409901254501649,0.0059084917655700675,-0.04958166554911695,-0.052743647255052595,-0.0017641352096121293,0.005111867216635924,-0.0017641352096121293,0.9169790799984878,3.2857142857142856,3.0,-0.08502876433416373,-0.08339539379777891,-0.08502876433416373,0.9434040817989202
breakout,lock25_1,SMCI,14,0,10,4,0,0.7142857142857143,0.07039527564531409,0.01040002467996004,-0.07804974836998385,-0.07784394712167408,0.027982411640943252,0.004541548180892252,0.027982411640943252,2.2548207110039353,4.285714285714286,3.0,-0.13822502620668287,-0.12254971490814313,-0.13822502620668287,0.9671263394002461
