module,outcome,feature,total,observed,not_observed,mean,q25,median,q75,q90
breakout,loser,in_trade_mae_upper,324,324,0,-0.04686083698506516,-0.06156432007765461,-0.04253014336404487,-0.02613077938806213,-0.015520146458076381
breakout,loser,mae_before_positive_close,324,324,0,-0.022838902912257937,-0.04020666133951756,-0.016108645807558275,0.0,0.0
breakout,loser,first_positive_close_bar,324,213,111,1.892018779342723,1.0,1.0,2.0,4.0
breakout,loser,bars_held,324,324,0,7.929012345679013,4.0,6.0,11.0,15.699999999999989
breakout,loser,first_known_0.010,324,236,88,2.0042372881355934,1.0,1.0,2.0,4.0
breakout,loser,first_known_0.020,324,169,155,3.136094674556213,1.0,2.0,4.0,7.0
breakout,loser,first_known_0.030,324,118,206,3.7796610169491527,1.0,3.0,5.0,8.299999999999997
squeeze,winner,in_trade_mfe_lower,66,66,0,0.16042151535924867,0.08122705390684193,0.12541454126337093,0.1906126358333446,0.3277564241072317
squeeze,winner,in_trade_mfe_upper,66,66,0,0.1605088857677281,0.08122705390684193,0.12541454126337093,0.1906126358333446,0.3277564241072317
squeeze,winner,in_trade_mae_lower,66,66,0,-0.02072245318277653,-0.028199139771254322,-0.01762690361114788,-0.008319690092336185,-0.003705268656728211
squeeze,winner,in_trade_mae_upper,66,66,0,-0.019861939218425023,-0.028199139771254322,-0.016118619564104597,-0.00775238049658572,-0.0012810994513214324
squeeze,winner,mae_before_positive_close,66,66,0,-0.013126132495913503,-0.022371168500490618,0.0,0.0,0.0
squeeze,winner,first_positive_close_bar,66,66,0,2.3636363636363638,1.0,1.0,3.0,5.0
squeeze,winner,bars_held,66,66,0,20.90909090909091,13.0,19.0,27.5,34.0
squeeze,winner,first_known_0.010,66,66,0,2.257575757575758,1.0,1.0,3.0,4.0
squeeze,winner,first_known_0.020,66,66,0,3.4696969696969697,1.0,2.0,4.0,7.5
squeeze,winner,first_known_0.030,66,66,0,4.924242424242424,2.0,3.5,7.0,10.0
squeeze,loser,in_trade_mfe_lower,128,128,0,0.028734793758409025,0.010396668342464999,0.0235099443260417,0.039438172458795884,0.056337428857219346
squeeze,loser,in_trade_mfe_upper,128,128,0,0.02924791978460415,0.010396668342464999,0.023916810621772644,0.040499668616301665,0.056337428857219346
squeeze,loser,in_trade_mae_lower,128,128,0,-0.047034145999707684,-0.06006926325925488,-0.039936620745294416,-0.028596532372933192,-0.019056845292170832
squeeze,loser,in_trade_mae_upper,128,128,0,-0.03970323745876638,-0.0522202466446455,-0.03355813421885778,-0.022686702502819206,-0.01540371825273178
squeeze,loser,mae_before_positive_close,128,128,0,-0.01899020900347527,-0.03008078951748605,-0.010728818358634262,0.0,0.0
squeeze,loser,first_positive_close_bar,128,90,38,1.9,1.0,1.0,2.0,3.0
squeeze,loser,bars_held,128,128,0,7.3359375,4.0,6.0,9.0,13.0
squeeze,loser,first_known_0.010,128,96,32,2.1458333333333335,1.0,1.0,3.0,4.0
squeeze,loser,first_known_0.020,128,73,55,3.0273972602739727,1.0,2.0,4.0,6.0
squeeze,loser,first_known_0.030,128,50,78,3.64,2.0,3.0,5.0,7.100000000000001
