trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,initial_risk_pct,realized_R,mfe_R,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2021-11-03,signal bar close,2021-11-04,132.00999450683594,3.949620443751521,122.13594339745714,2,1,2021-11-10,141.08897510184795,ATR_STOP,5,True,False,0.06877494866149592,2021-11-10,INTRABAR_STOP,TRAILING_STOP,True,True,0.1790773454537511,-0.009393154200235898,0.1790773454537511,0.1790773454537511,-0.009393154200235898,-0.009393154200235898,2021-11-09,3,0.38405164253039414,0.11030239679225518,20,True,15,0.24581481370602498,0.07479775411146983,0.9194787928926552,2.394154043540868,-0.009393154200235898,0.1635483106967457,1,0.0,False,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,ADX 40+,breakout,AMD,IN-SAMPLE,2021,4-5
2,Long,2023-11-03,signal bar close,2023-11-06,112.5999984741211,4.258137348705407,101.95465510235758,2,1,2023-12-04,116.89656543698734,ATR_STOP,20,True,False,0.03815778881963072,2023-12-04,INTRABAR_STOP,TRAILING_STOP,True,True,0.11660750497994177,-0.021136743211989995,0.11660750497994177,0.11660750497994177,-0.021136743211989995,-0.021136743211989995,2023-11-29,16,0.3272327010700935,0.07844971616031104,20,True,0,,0.09454123904104794,0.403609992916037,1.2334036042124759,-0.021136743211989995,0.02415631667462459,2,-0.021136743211989995,False,2,2,2,2,3.0,3.0,5.0,5.0,5.0,5.0,ADX 18-25,breakout,AMD,IN-SAMPLE,2023,16+
3,Long,2023-12-08,signal bar close,2023-12-11,130.55999755859375,4.305639471261093,119.79589888044102,2,1,2024-01-02,140.4202982091685,ATR_STOP,15,True,False,0.07552313752265172,2024-01-02,INTRABAR_STOP,TRAILING_STOP,True,True,0.15693938324384837,-0.01769299633723609,0.15693938324384837,0.15693938324384837,-0.01769299633723609,-0.01769299633723609,2023-12-29,13,0.4812248905381883,0.08141624572119666,20,True,5,0.14782478104058017,0.08244561028979751,0.916035884229455,1.9035505067183587,-0.01769299633723609,0.07146141241973836,1,0.0,False,1,1,1,1,1.0,1.0,1.0,1.0,2.0,2.0,ADX 25-40,breakout,AMD,IN-SAMPLE,2023,11-15
4,Long,2024-02-22,signal bar close,2024-02-23,181.86000061035156,7.923736060296494,162.05066045961033,2,1,2024-03-11,203.00999450683594,ATR_STOP,12,True,False,0.11629821745024516,2024-03-11,OPEN,TRAILING_STOP,False,True,0.2498625442037956,-0.05152312265336123,0.2498625442037956,0.2498625442037956,-0.05152312265336123,-0.05152312265336123,2024-03-08,10,0.4654487843339526,0.13356432675355046,20,True,9,0.11926758148361971,0.10892631741041399,1.0676778598146786,2.2938675440789966,-0.05152312265336123,0.010667559853157815,5,-0.05152312265336123,False,1,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,ADX 25-40,breakout,AMD,IN-SAMPLE,2024,11-15
5,Long,2024-10-04,signal bar close,2024-10-07,171.0800018310547,5.8811213254611205,156.3771985174019,2,1,2024-10-15,160.23092128505695,ATR_STOP,7,True,False,-0.06341524684288613,2024-10-15,INTRABAR_STOP,TRAILING_STOP,True,True,0.01736030622466367,,0.01736030622466367,0.01736030622466367,-0.0896656311299272,-0.06341524684288613,2024-10-09,2,-3.6528875713489732,0.0807755530675498,20,True,13,0.0,0.08594109864560406,-0.7378919730173807,0.2020023771892013,-0.016775748693419357,0.01736030622466367,2,-0.016775748693419357,False,1,1,2,2,,,,,,,ADX 18-25,breakout,AMD,IN-SAMPLE,2024,6-10
6,Long,2025-07-15,signal bar close,2025-07-16,155.30999755859375,5.618541801784515,141.26364305413247,2,1,2025-08-01,167.62128845578982,ATR_STOP,13,True,False,0.07926914616395764,2025-08-01,INTRABAR_STOP,TRAILING_STOP,True,True,0.1750692348774796,-0.03843925899522871,0.1750692348774796,0.1750692348774796,-0.03843925899522871,-0.03843925899522871,2025-07-31,11,0.45278741418749746,0.09580008871352197,20,True,7,0.15137473527263046,0.09044076186506933,0.8764758780141759,1.9357337473413754,-0.015839234394102952,0.04281765024665973,1,0.0,False,1,1,1,1,1.0,1.0,1.0,1.0,2.0,2.0,ADX 25-40,breakout,AMD,IN-SAMPLE,2025,11-15
7,Long,2025-08-13,signal bar close,2025-08-14,179.8300018310547,7.7767522718654325,160.38812115139112,2,1,2025-08-19,167.3961927752443,ATR_STOP,4,True,False,-0.0691420170672723,2025-08-19,INTRABAR_STOP,TRAILING_STOP,True,True,0.031196132754433226,,0.031196132754433226,0.031196132754433226,-0.07634986146771006,-0.0691420170672723,2025-08-14,0,-2.216365009456073,0.10033814982170552,20,True,16,0.0,0.10811255342102859,-0.6395373606431141,0.2885523629521951,-0.03041762311631424,0.031196132754433226,1,0.0,False,1,1,1,1,1.0,1.0,1.0,1.0,,,ADX 25-40,breakout,AMD,IN-SAMPLE,2025,4-5
8,Long,2026-05-06,signal bar close,2026-05-07,417.07000732421875,20.65030563232875,365.4442432433969,2,1,2026-05-18,413.50307821414367,ATR_STOP,8,True,False,-0.008552351038041084,2026-05-18,INTRABAR_STOP,TRAILING_STOP,True,True,0.12503894545441252,-0.03833893703970648,0.12503894545441252,0.12503894545441252,-0.03833893703970648,-0.03833893703970648,2026-05-11,2,-0.06839749813116548,0.1335912964924536,20,True,12,0.3101877211146924,0.12378201063182519,-0.06909203521890617,1.0101544224089714,-0.03833893703970648,0.12503894545441252,2,-0.03833893703970648,False,1,1,1,1,2.0,2.0,2.0,2.0,2.0,2.0,ADX 40+,breakout,AMD,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
9,Long,2026-06-15,signal bar close,2026-06-16,546.8900146484375,33.422862377039024,463.33285870583995,2,1,2026-07-16,497.47471610269764,ATR_STOP,21,True,False,-0.09035692227349579,2026-07-16,INTRABAR_STOP,TRAILING_STOP,True,True,0.06919118068856589,,0.06919118068856589,0.06919118068856589,-0.10073328343886989,-0.09424199960581436,2026-06-30,9,-1.3059023039395485,0.15954810296206168,20,True,0,,0.15278603321421289,-0.5913951712249202,0.4528632574127816,-0.07248260817839158,0.0037667492611253017,4,-0.07248260817839158,False,4,4,4,4,4.0,4.0,10.0,10.0,10.0,10.0,ADX 25-40,breakout,AMD,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,16+
