cohort,group,group_value,horizon,observations,complete,censored,symbols,years,mean,median,q10,q90,positive,negative,positive_rate,trimmed_mean,mean_mfe,median_mfe,mean_mae,median_mae,mean_without_top_1,mean_without_bottom_1,top_1_influence,mean_without_top_3,mean_without_bottom_3,top_3_influence,mean_without_top_5,mean_without_bottom_5,top_5_influence,target_3_stop_2_resolved,target_3_stop_2_target_before_stop_count,target_3_stop_2_stop_before_target_count,target_3_stop_2_neither_count,target_3_stop_2_ambiguous_count,target_3_stop_2_censored_count,target_3_stop_2_rate,target_5_stop_3_resolved,target_5_stop_3_target_before_stop_count,target_5_stop_3_stop_before_target_count,target_5_stop_3_neither_count,target_5_stop_3_ambiguous_count,target_5_stop_3_censored_count,target_5_stop_3_rate
approved_pure,all,all,1,47,47,0,31,4,0.00041328959583559707,0.0011831631126535402,-0.026548941271274697,0.023005827630812933,25,22,0.5319148936170213,0.0006043476663731242,0.014247700577182009,0.010862152194626828,-0.012757696435402411,-0.010023837235068833,-0.0005516906882728381,0.001416742958198115,0.0009649802841084352,-0.0022910602501229086,0.0032493306105238966,0.0027043498459585055,-0.0037186674493312373,0.004779540105080323,0.004131957045166834,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873
approved_pure,all,all,3,47,47,0,31,4,0.011559240573050824,0.009370490409601251,-0.03422732826723713,0.05555508345373634,28,19,0.5957446808510638,0.011707554067108848,0.03274139099832344,0.02766217303329399,-0.022002672163938048,-0.020705853630514692,0.009110883479046835,0.013418431905935311,0.0024483570940039886,0.006470562136895611,0.016755371510587338,0.005088678436155213,0.003982674634592509,0.01931428571440786,0.007576565938458315,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873
approved_pure,all,all,5,47,47,0,31,4,0.021230299477466772,0.021460343220930378,-0.03462121131156535,0.09640674505579051,31,16,0.6595744680851063,0.020401125406722013,0.047172734134710965,0.038471637161082484,-0.02840911817382794,-0.022741574976450796,0.0185435211257587,0.02392288900760082,0.002686778351708073,0.014805159422749209,0.02732137486652446,0.006425140054717563,0.010830007307647766,0.030413513451033544,0.010400292169819006,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873
approved_pure,all,all,10,47,47,0,31,4,0.02729787529933374,0.026956362697551084,-0.05769876263135116,0.11808885760725522,31,16,0.6595744680851063,0.02517331892713062,0.07024877713003082,0.054729052622538354,-0.0360427333405776,-0.026661680540490562,0.023594076207038885,0.0301719350549693,0.0037037990922948565,0.01774002647216679,0.03529037577671214,0.00955784882716695,0.01258636852316967,0.03983145244269462,0.014711506776164071,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873
approved_pure,all,all,20,47,47,0,31,4,0.035974568467032904,0.03183115894600452,-0.08135913509556911,0.1481381853837731,31,16,0.6595744680851063,0.03597626783375057,0.09562368447180566,0.08895115353089933,-0.0600637674771311,-0.040490755671721,0.032373413796064295,0.03960330756069182,0.0036011546709686093,0.0250879391084887,0.04656778259770111,0.010886629358544203,0.018871952536977172,0.053316914295015096,0.017102615930055732,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873
approved_pure,year,2022,1,7,7,0,6,1,0.0038213211145455045,0.0011831631126535402,-0.018598950851666317,0.025190053648604147,4,3,0.5714285714285714,0.0038213211145455045,0.01613534774834145,0.017086851465415442,-0.01618607047674622,-0.02613744777863436,-0.002022612483180475,0.008888739868394835,0.005843933597725979,-0.010620370702674076,0.017603473431292094,0.01444169181721958,-0.01992965761114701,0.027472531823987012,0.023750978725692515,7,2,5,0,0,0,0.2857142857142857,7,3,4,0,0,0,0.42857142857142855
approved_pure,year,2022,3,7,7,0,6,1,0.01739068178870364,0.023378194960627763,-0.02768942727870991,0.06206002910451849,4,3,0.5714285714285714,0.01739068178870364,0.04416576140556493,0.05224083540372382,-0.024852216704007755,-0.028190034936907193,0.009645218832069738,0.026755058289583706,0.0077454629566339,-0.013652262076624622,0.04993050394701293,0.03104294386532826,-0.02954045226835439,0.06236060084184991,0.046931134057058024,7,2,5,0,0,0,0.2857142857142857,7,3,4,0,0,0,0.42857142857142855
approved_pure,year,2022,5,7,7,0,6,1,0.015714005233609933,0.008713376347563973,-0.020236736284530397,0.054642823909651,5,2,0.7142857142857143,0.015714005233609933,0.05905612993648392,0.05224083540372382,-0.029202405238528777,-0.03193973556297347,0.0044790292414266615,0.023878400854602338,0.01123497599218327,-0.008431095068097139,0.03810894831380551,0.02414510030170707,-0.022409341652499415,0.05938966345582741,0.03812334688610935,7,2,5,0,0,0,0.2857142857142857,7,3,4,0,0,0,0.42857142857142855
approved_pure,year,2022,10,7,7,0,6,1,0.012681909787612697,-0.017756497892935763,-0.05411880469308113,0.0953256167311051,3,4,0.42857142857142855,0.012681909787612697,0.07174335736092094,0.0939827994935929,-0.03881324321817344,-0.04181966440127716,-0.0014247528613478926,0.024564946259922765,0.014106662648960589,-0.04142044285702581,0.05917466051211409,0.05410235264463851,-0.05486838875194222,0.09565832822281695,0.06755029853955492,7,2,5,0,0,0,0.2857142857142857,7,3,4,0,0,0,0.42857142857142855
approved_pure,year,2022,20,7,7,0,6,1,0.03310792158669889,0.019787803851290864,-0.10658068991797846,0.19600070355865526,4,3,0.5714285714285714,0.03310792158669889,0.10278491889181351,0.09509805000587157,-0.07164260422424543,-0.05397801165594651,0.0050212946292172616,0.06045048015802832,0.02808662695748163,-0.05079748345272789,0.11368329719227366,0.08390540503942678,-0.11064181323852834,0.1969385335208108,0.14374973482522724,7,2,5,0,0,0,0.2857142857142857,7,3,4,0,0,0,0.42857142857142855
