feature,count,missing,mean,median,q20,q80
rsi,47,0,38.93177776634638,38.18313347664818,35.74422937168944,42.09412745961542
rsi_distance_from_avg,47,0,3.6526058173331086,2.8623857393550267,1.2469462679062475,5.235821156076397
htf_adx,47,0,29.63574877917041,29.888186794149075,26.67458504491481,32.67420630370074
adx_margin,47,0,11.6357487791704,11.888186794149075,8.67458504491481,14.674206303700743
ema_spread_pct,47,0,9.104136805817442,8.02911022048449,5.191330722407228,12.081570312571236
atr_pct,47,0,3.2760498954575565,3.0659125778483274,2.135300803660218,4.026087997558939
candle_range_atr,47,0,0.9166454777989906,0.8230513134877965,0.583918380070446,1.2080429866730862
volume_ratio,47,0,1.1206521438662023,0.9631065114338236,0.8066953490628475,1.394259082078789
distance_to_breakout_atr,47,0,3.050447760573282,3.0802871302859183,2.2819912837298193,3.895181413968327
bb_width,47,0,0.21600815575691992,0.20495594471771814,0.14750908014038167,0.2649968800679657
distance_to_squeeze_pct,47,0,138.7612447987388,131.74350310176018,90.81416382871764,180.11259185955126
distance_to_upper_band_atr,47,0,5.371232384659628,5.387363042956463,4.388198824608078,6.327302798982147
bars_since_rsi_up,47,0,0.0,0.0,0.0,0.0
bars_since_oversold,47,0,2.106382978723404,2.0,1.0,3.0
bars_since_squeeze,45,2,22.444444444444443,17.0,9.8,35.0
