feature,bin,outcome_view,eligible,poor,poor_rate,all_approved_poor_rate,enrichment
rsi,1,negative_return_5,10,4,0.4,0.3404255319148936,1.175
rsi,1,negative_return_20,10,4,0.4,0.3404255319148936,1.175
rsi,1,stop_before_target_3_2,10,2,0.2,0.5106382978723404,0.3916666666666667
rsi,2,negative_return_5,9,4,0.4444444444444444,0.3404255319148936,1.3055555555555556
rsi,2,negative_return_20,9,4,0.4444444444444444,0.3404255319148936,1.3055555555555556
rsi,2,stop_before_target_3_2,9,7,0.7777777777777778,0.5106382978723404,1.5231481481481484
rsi,3,negative_return_5,9,1,0.1111111111111111,0.3404255319148936,0.3263888888888889
rsi,3,negative_return_20,9,2,0.2222222222222222,0.3404255319148936,0.6527777777777778
rsi,3,stop_before_target_3_2,9,4,0.4444444444444444,0.5106382978723404,0.8703703703703703
rsi,4,negative_return_5,9,4,0.4444444444444444,0.3404255319148936,1.3055555555555556
rsi,4,negative_return_20,9,5,0.5555555555555556,0.3404255319148936,1.6319444444444446
rsi,4,stop_before_target_3_2,9,6,0.6666666666666666,0.5106382978723404,1.3055555555555556
rsi,5,negative_return_5,10,3,0.3,0.3404255319148936,0.88125
rsi,5,negative_return_20,10,1,0.1,0.3404255319148936,0.29375
rsi,5,stop_before_target_3_2,10,5,0.5,0.5106382978723404,0.9791666666666667
rsi_distance_from_avg,1,negative_return_5,10,4,0.4,0.3404255319148936,1.175
rsi_distance_from_avg,1,negative_return_20,10,2,0.2,0.3404255319148936,0.5875
rsi_distance_from_avg,1,stop_before_target_3_2,10,6,0.6,0.5106382978723404,1.175
rsi_distance_from_avg,2,negative_return_5,9,3,0.3333333333333333,0.3404255319148936,0.9791666666666666
rsi_distance_from_avg,2,negative_return_20,9,4,0.4444444444444444,0.3404255319148936,1.3055555555555556
rsi_distance_from_avg,2,stop_before_target_3_2,9,2,0.2222222222222222,0.5106382978723404,0.4351851851851852
rsi_distance_from_avg,3,negative_return_5,9,1,0.1111111111111111,0.3404255319148936,0.3263888888888889
rsi_distance_from_avg,3,negative_return_20,9,1,0.1111111111111111,0.3404255319148936,0.3263888888888889
rsi_distance_from_avg,3,stop_before_target_3_2,9,5,0.5555555555555556,0.5106382978723404,1.087962962962963
rsi_distance_from_avg,4,negative_return_5,9,4,0.4444444444444444,0.3404255319148936,1.3055555555555556
rsi_distance_from_avg,4,negative_return_20,9,5,0.5555555555555556,0.3404255319148936,1.6319444444444446
rsi_distance_from_avg,4,stop_before_target_3_2,9,6,0.6666666666666666,0.5106382978723404,1.3055555555555556
rsi_distance_from_avg,5,negative_return_5,10,4,0.4,0.3404255319148936,1.175
rsi_distance_from_avg,5,negative_return_20,10,4,0.4,0.3404255319148936,1.175
rsi_distance_from_avg,5,stop_before_target_3_2,10,5,0.5,0.5106382978723404,0.9791666666666667
htf_adx,1,negative_return_5,10,3,0.3,0.3404255319148936,0.88125
