module,scenario,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit,fraction_trades_removed,status
breakout,baseline,547,2,223,324,0,0.4076782449725777,0.07051215528356179,0.0387848477951076,-0.04358127523099453,-0.04012459533558277,0.002932134284080534,-0.013197638432546288,0.002932134284080534,1.1135863745941654,12.06764168190128,10.0,-0.21953813037602288,-0.08377501175717122,-0.11096494859754368,0.14030792962673477,0.0,TAIL-SENSITIVE
breakout,breakeven_1,647,1,137,266,244,0.2117465224111283,0.06636465362519826,0.03481326162221077,-0.03349157327260054,-0.024356081695127707,0.0002831515550856555,0.0,0.0002831515550856555,1.0205639266498845,6.508500772797527,4.0,-0.21953813037602288,-0.06756488942758254,-0.09518769041723417,0.19284824462976582,-0.18281535648994507,TAIL-SENSITIVE
breakout,breakeven_2,598,1,176,266,156,0.29431438127090304,0.06831964092031916,0.034879376872433476,-0.04097070740971167,-0.037785216764347096,0.0018830244665432585,0.0,0.0018830244665432585,1.1033241991092622,8.934782608695652,6.0,-0.21953813037602288,-0.07784880894822206,-0.10738913552652268,0.15560466234868778,-0.09323583180987205,TAIL-SENSITIVE
breakout,breakeven_3,579,1,191,280,108,0.3298791018998273,0.06790281195488615,0.034945492122656185,-0.04340281960766071,-0.04012459533558277,0.001410444893330321,0.0,0.001410444893330321,1.0671983657661885,10.08635578583765,7.0,-0.21953813037602288,-0.08176048843404352,-0.10992168178782645,0.14426458200430473,-0.058500914076782484,TAIL-SENSITIVE
breakout,breakeven_4,570,1,199,293,78,0.34912280701754383,0.06801380921002075,0.03592261275129083,-0.04401608955647684,-0.04023518231209178,0.0011193575311340544,-0.0030481052063079384,0.0011193575311340544,1.0494725850996331,10.735087719298246,8.0,-0.21953813037602288,-0.08239712658674593,-0.11021736220064227,0.14001294669543865,-0.042047531992687404,TAIL-SENSITIVE
breakout,early_3,561,2,215,346,0,0.38324420677361853,0.07186756823932704,0.04001896200604449,-0.040737389368150696,-0.035759066922837424,0.002417808288904053,-0.014149434086518031,0.002417808288904053,1.096231095652853,11.336898395721924,9.0,-0.21953813037602288,-0.08251588658587938,-0.10869927596949515,0.1427840377058635,-0.025594149908592323,TAIL-SENSITIVE
breakout,lock25_1,685,1,430,254,1,0.6277372262773723,0.02108333269821481,0.007087101235845994,-0.034823219942181294,-0.02870099932550768,0.00032224116046469646,0.0034924400570615077,0.00032224116046469646,1.0249556532080815,5.202919708029197,3.0,-0.21953813037602288,-0.06638014425224104,-0.09342202911241806,0.19109879528889234,-0.2522851919561244,TAIL-SENSITIVE
breakout,lock25_2,628,0,379,249,0,0.6035031847133758,0.032243505136187255,0.012119391274176827,-0.044533288070339065,-0.04132865266419927,0.0018017511418798465,0.006022824865052456,0.0018017511418798465,1.1020399743110707,7.509554140127388,5.0,-0.21953813037602288,-0.07663864290044693,-0.10535601303648859,0.1531085315898326,-0.1480804387568555,TAIL-SENSITIVE
breakout,lock25_3,603,0,338,265,0,0.560530679933665,0.04003622120432628,0.016858797137736747,-0.045965721711339474,-0.04144208714949493,0.0022410058267948968,0.007946037340617274,0.0022410058267948968,1.110938002153039,8.882255389718077,6.0,-0.21953813037602288,-0.0789342851981756,-0.10792197738523142,0.13826462116239407,-0.10237659963436929,TAIL-SENSITIVE
breakout,lock25_4,589,0,304,285,0,0.5161290322580645,0.04704450670097994,0.019921625313400693,-0.045254992237953595,-0.04054486304388594,0.0023834588273024216,0.0062221950954861605,0.0023834588273024216,1.1088457795740654,9.774193548387096,7.0,-0.21953813037602288,-0.08146997882651474,-0.10921179468582914,0.13250609899333143,-0.07678244972577697,TAIL-SENSITIVE
breakout,skip_bars_since_rsi_up_5,517,2,204,313,0,0.3945841392649903,0.07298943970818468,0.04168419586511518,-0.043948489645113976,-0.04023518231209178,0.002193362556187622,-0.014340356869460558,0.002193362556187622,1.0824351962586483,11.899419729206963,10.0,-0.21953813037602288,-0.08562959934291733,-0.11301150441792968,0.16727951851358255,0.054844606946983565,TAIL-SENSITIVE
breakout,skip_candle_range_atr_3,483,1,193,290,0,0.3995859213250518,0.0735714880959361,0.04001896200604449,-0.0432597784572506,-0.03923745209860158,0.0034243508279772146,-0.013197638432546288,0.0034243508279772146,1.131838755257695,12.045548654244307,10.0,-0.21953813037602288,-0.0833708372156273,-0.10969840574261971,0.1553761011405111,0.11700182815356486,TAIL-SENSITIVE
breakout,skip_distance_to_upper_band_atr_1,479,2,196,283,0,0.4091858037578288,0.07216394848160419,0.04075384988069508,-0.04280543899079723,-0.03784418252842414,0.004238402229642599,-0.012918284667216007,0.004238402229642599,1.1675916172861747,12.008350730688935,10.0,-0.21953813037602288,-0.08401964216819108,-0.11265000352206082,0.15074718430778397,0.1243144424131627,MIXED
breakout,time_10,547,2,223,324,0,0.4076782449725777,0.07051215528356179,0.0387848477951076,-0.04358127523099453,-0.04012459533558277,0.002932134284080534,-0.013197638432546288,0.002932134284080534,1.1135863745941654,12.06764168190128,10.0,-0.21953813037602288,-0.08377501175717122,-0.11096494859754368,0.14030792962673477,0.0,TAIL-SENSITIVE
breakout,time_15,547,2,223,324,0,0.4076782449725777,0.07051215528356179,0.0387848477951076,-0.04358127523099453,-0.04012459533558277,0.002932134284080534,-0.013197638432546288,0.002932134284080534,1.1135863745941654,12.06764168190128,10.0,-0.21953813037602288,-0.08377501175717122,-0.11096494859754368,0.14030792962673477,0.0,TAIL-SENSITIVE
breakout,time_5,557,2,225,332,0,0.40394973070017953,0.06924744128641269,0.037686768342197974,-0.042741587477697095,-0.03791498216447042,0.0024963505329397132,-0.012789679649683805,0.0024963505329397132,1.0979878054403003,11.648114901256733,9.0,-0.21953813037602288,-0.08413176685329915,-0.1112295045668229,0.14160051081724667,-0.018281535648994485,TAIL-SENSITIVE
meanrev,baseline,55,1,27,28,0,0.4909090909090909,0.07108036438966457,0.0490759380865573,-0.04219863723405393,-0.03617615528855134,0.013411054472135153,-0.00011654540743621933,0.013411054472135153,1.6242652474062345,11.49090909090909,10.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5006502257849995,0.0,LOW SAMPLE
meanrev,breakeven_1,56,1,16,25,15,0.2857142857142857,0.06988684615803077,0.06191323211066957,-0.036961381627182176,-0.03226875185625433,0.0034670535330167495,0.0,0.0034670535330167495,1.2101166020332448,7.464285714285714,5.0,-0.10417027794415878,-0.0692366567804194,-0.08874714799162131,0.6245523001551821,-0.018181818181818077,LOW SAMPLE
meanrev,breakeven_2,55,1,21,24,10,0.38181818181818183,0.0610701502309934,0.0490759380865573,-0.043719280520705533,-0.04136518409891704,0.004240189497344157,0.0,0.004240189497344157,1.2222612269845488,9.309090909090909,8.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5452386378648206,0.0,LOW SAMPLE
meanrev,breakeven_3,55,1,23,25,7,0.41818181818181815,0.06185923170413175,0.0490759380865573,-0.04451544090725866,-0.0429881023642531,0.005634114663882978,0.0,0.005634114663882978,1.2784438839180725,10.072727272727272,9.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5063787962695995,0.0,LOW SAMPLE
meanrev,breakeven_4,55,1,26,26,3,0.4727272727272727,0.06885606610384201,0.0462702623958372,-0.044352554117818174,-0.039865563737783216,0.01158347839339309,0.0,0.01158347839339309,1.5524712719121583,10.981818181818182,9.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5224321402379036,0.0,LOW SAMPLE
meanrev,early_3,55,1,25,30,0,0.45454545454545453,0.07368403817088268,0.0490759380865573,-0.03998499697249091,-0.03545437336245999,0.011682746274497086,-0.009731563084107941,0.011682746274497086,1.5356601173346804,10.618181818181819,9.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5215961756856906,0.0,LOW SAMPLE
meanrev,lock25_1,56,1,31,25,0,0.5535714285714286,0.02777500195052791,0.008971805363556129,-0.036961381627182176,-0.03226875185625433,-0.0011251692895212356,0.003780849231492578,-0.0011251692895212356,0.9318104708868884,5.892857142857143,4.0,-0.10417027794415878,-0.0692366567804194,-0.08874714799162131,0.6476560522677756,-0.018181818181818077,LOW SAMPLE
meanrev,lock25_2,55,1,31,24,0,0.5636363636363636,0.03076385035151966,0.011689959362211955,-0.043719280520705533,-0.04136518409891704,-0.0017378794836331514,0.0057240843174311,-0.0017378794836331514,0.9089042537779233,7.254545454545455,6.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5856624167597765,0.0,LOW SAMPLE
meanrev,lock25_3,55,1,30,25,0,0.5454545454545454,0.03676983969727055,0.016900824496206335,-0.04451544090725866,-0.0429881023642531,-0.00017801512296999688,0.008237386592929719,-0.00017801512296999688,0.9912023050305194,8.254545454545454,7.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5358179242108099,0.0,LOW SAMPLE
meanrev,lock25_4,55,1,29,26,0,0.5272727272727272,0.05223889365408644,0.021779388840563296,-0.044352554117818174,-0.039865563737783216,0.006577481980095167,0.01035116507712619,0.006577481980095167,1.3137114528219038,9.418181818181818,8.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5495714828186616,0.0,LOW SAMPLE
meanrev,time_10,55,1,26,29,0,0.4727272727272727,0.07365165425933544,0.051565567659871414,-0.04102507829862908,-0.03560928546578934,0.013185740728772327,-0.0037253653351255744,0.013185740728772327,1.6095646943353807,11.290909090909091,10.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.501755304249293,0.0,LOW SAMPLE
meanrev,time_15,55,1,27,28,0,0.4909090909090909,0.07108036438966457,0.0490759380865573,-0.04219863723405393,-0.03617615528855134,0.013411054472135153,-0.00011654540743621933,0.013411054472135153,1.6242652474062345,11.49090909090909,10.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5006502257849995,0.0,LOW SAMPLE
meanrev,time_5,55,1,26,29,0,0.4727272727272727,0.07365165425933544,0.051565567659871414,-0.04044431452838527,-0.03529946125913064,0.013491961625809975,-0.0037253653351255744,0.013491961625809975,1.6326773832567738,11.054545454545455,9.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.501755304249293,0.0,LOW SAMPLE
pullback,baseline,363,0,155,208,0,0.42699724517906334,0.059224786582557906,0.02950535400509713,-0.027289495583177205,-0.0215418122129159,0.009651864570235856,-0.006786271286123524,0.009651864570235856,1.6172470191514776,5.856749311294766,4.0,-0.1245550227332578,-0.06676116555876993,-0.08321957411186114,0.17721480819239438,0.0,INCONCLUSIVE
