module,baseline_wr,baseline_trades,bad_entry_like_fraction,giveback_fraction,dead_fraction,uncertain_fraction,largest_category,highest_observed_scenario,highest_observed_wr,trades,pf,expectancy,status,robust_supported_wr
meanrev,0.4909090909090909,55,0.17857142857142858,0.8214285714285714,0.0,0.0,SMALL_PROFIT_GIVEBACK,lock25_2,0.5636363636363636,55,0.9089042537779233,-0.0017378794836331514,LOW SAMPLE,
pullback,0.42699724517906334,363,0.28365384615384615,0.6923076923076923,0.0,0.02403846153846154,SMALL_PROFIT_GIVEBACK,lock25_1,0.5671232876712329,365,1.425786971470692,0.005035697759271273,MIXED,
breakout,0.4076782449725777,547,0.1450617283950617,0.8518518518518519,0.0,0.0030864197530864196,GIVEBACK_LOSER,lock25_1,0.6277372262773723,685,1.0249556532080815,0.00032224116046469646,TAIL-SENSITIVE,
squeeze,0.3402061855670103,194,0.171875,0.8046875,0.0,0.0234375,GIVEBACK_LOSER,lock25_1,0.5971563981042654,211,1.0128127998226604,0.0001531137382850554,TAIL-SENSITIVE,
