scenario,loser_to_win,loser_to_nonloss,winner_destroyed
breakeven_1,0,7,12
breakeven_2,0,5,6
breakeven_3,0,4,4
breakeven_4,0,2,1
early_3,0,0,2
lock25_1,7,7,4
lock25_2,5,5,1
lock25_3,4,4,1
lock25_4,2,2,0
time_10,0,0,1
time_15,0,0,0
time_5,0,0,1
