scenario,loser_to_win,loser_to_nonloss,winner_destroyed
breakeven_1,0,55,36
breakeven_2,0,51,22
breakeven_3,0,35,13
breakeven_4,0,23,5
early_3,0,0,1
lock25_1,63,63,10
lock25_2,57,57,5
lock25_3,39,39,3
lock25_4,24,24,1
time_10,0,0,0
time_15,0,0,0
time_5,0,0,2
