module,symbol,signal_time,closed_a,return_pct_a,closed_b,return_pct_b,_merge,matched_closed,loser_to_win,loser_to_nonloss,winner_destroyed,scenario
meanrev,AAPL,2023-08-21,True,0.037993891268263136,True,0.0,both,True,False,False,True,breakeven_2
meanrev,AAPL,2024-01-10,True,-0.02874775392887874,True,-0.02874775392887874,both,True,False,False,False,breakeven_2
meanrev,AAPL,2025-01-27,True,-0.0037253653351255744,True,-0.0037253653351255744,both,True,False,False,False,breakeven_2
meanrev,AAPL,2026-01-26,True,0.039319868057414054,True,0.039319868057414054,both,True,False,False,False,breakeven_2
meanrev,ABNB,2023-08-22,True,0.12532321566664706,True,0.12532321566664706,both,True,False,False,False,breakeven_2
meanrev,AMD,2024-04-23,True,-0.05397289908030123,True,-0.05397289908030123,both,True,False,False,False,breakeven_2
meanrev,AMZN,2025-03-05,True,-0.06005137675699679,True,-0.06005137675699679,both,True,False,False,False,breakeven_2
meanrev,AVGO,2022-01-26,True,0.007077589132747919,True,0.007077589132747919,both,True,False,False,False,breakeven_2
meanrev,BAC,2024-08-08,True,0.030453721903250353,True,0.030453721903250353,both,True,False,False,False,breakeven_2
meanrev,CAT,2023-03-21,True,-0.014430185704441323,True,0.0,both,True,False,True,False,breakeven_2
meanrev,CAT,2024-12-24,True,-0.024303293320019015,True,-0.024303293320019015,both,True,False,False,False,breakeven_2
meanrev,CAT,2025-01-13,True,0.07562377326068126,True,0.07562377326068126,both,True,False,False,False,breakeven_2
meanrev,CAT,2026-08-03,True,-0.07928656123104905,True,-0.07928656123104905,both,True,False,False,False,breakeven_2
meanrev,COP,2024-05-17,True,-0.03226875185625433,True,-0.03226875185625433,both,True,False,False,False,breakeven_2
meanrev,COP,2024-05-28,True,-0.03674302511131333,True,-0.03674302511131333,both,True,False,False,False,breakeven_2
meanrev,CRM,2024-04-23,True,0.004226827778222031,True,0.004226827778222031,both,True,False,False,False,breakeven_2
meanrev,CRWD,2025-03-12,True,0.024214218157369016,True,0.024214218157369016,both,True,False,False,False,breakeven_2
meanrev,CRWD,2026-01-07,True,-0.057948482864196516,True,-0.057948482864196516,both,True,False,False,False,breakeven_2
meanrev,CVX,2022-06-27,True,-0.06718853304223316,True,-0.06718853304223316,both,True,False,False,False,breakeven_2
meanrev,CVX,2022-10-03,True,-0.00011654540743621933,True,0.0,both,True,False,True,False,breakeven_2
meanrev,DE,2022-02-28,True,0.03527910502502296,True,0.03527910502502296,both,True,False,False,False,breakeven_2
