signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol
2023-03-23,Long,4,1,FLAT,,FILLED,1,2023-03-24,True,False,squeeze,NVDA
2023-05-08,Long,4,1,Long,1,IGNORED_POSITION_OPEN,,,,,squeeze,NVDA
2025-06-30,Long,4,1,FLAT,,FILLED,2,2025-07-01,True,False,squeeze,NVDA
