trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2021-12-22,signal bar close,2021-12-23,335.6000061035156,19.235468700795924,306.74680305232175,1,1,2022-01-05,372.0357053617911,ATR_STOP,9,True,False,0.10856882775811649,2022-01-05,INTRABAR_STOP,TRAILING_STOP,True,True,0.19984102851874908,-0.009177643128211788,0.19984102851874908,0.19984102851874908,-0.009177643128211788,-0.009177643128211788,2022-01-04,7,0.5432759657155716,0.09127220076063258,20,True,11,0.10806514284290514,-0.009177643128211788,0.11144217287334723,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 18-25,pullback,TSLA,IN-SAMPLE,2021,6-10
2,Long,2024-08-15,signal bar close,2024-08-16,211.14999389648438,12.184896013321422,192.87264987650224,1,1,2024-08-22,211.5550523206045,ATR_STOP,5,True,False,0.0019183444746804224,2024-08-22,INTRABAR_STOP,TRAILING_STOP,True,True,0.08084303962891548,,0.08084303962891548,0.08084303962891548,-0.003930791362809716,-0.0016575460802434883,2024-08-20,2,0.023729247236199662,0.07892469515423506,20,True,15,0.11295290927267576,-0.0016575460802434883,0.08084303962891548,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 25-40,pullback,TSLA,IN-SAMPLE,2024,4-5
3,Long,2024-08-23,signal bar close,2024-08-26,218.75,11.312775898563618,201.78083615215456,1,1,2024-08-28,209.72000122070312,TREND_EXIT,3,True,False,-0.04127999441964281,2024-08-28,OPEN,,False,True,0.0015542689732142012,-0.053988560267857144,0.0015542689732142012,0.0015542689732142012,-0.053988560267857144,-0.053988560267857144,2024-08-26,0,-26.559106004848374,0.04283426339285701,20,True,18,0.1428571428571428,-0.053988560267857144,0.0015542689732142012,,-0.053988560267857144,False,,,,,,,,,,,ADX 18-25,pullback,TSLA,IN-SAMPLE,2024,1-3
4,Long,2024-08-30,signal bar close,2024-09-03,215.25999450683594,10.571070836962086,199.4033882513928,1,1,2024-09-04,210.58999633789062,TREND_EXIT,2,True,False,-0.02169468683507292,2024-09-04,OPEN,,False,True,0.02155532615467526,-0.026107940446914002,0.02155532615467526,0.02155532615467526,-0.026107940446914002,-0.026107940446914002,2024-09-03,0,-1.0064652550092559,0.04325001298974818,20,True,19,0.2304189915007706,-0.026107940446914002,0.02155532615467526,,-0.026107940446914002,False,1.0,1.0,1.0,1.0,1.0,1.0,,,,,ADX 18-25,pullback,TSLA,IN-SAMPLE,2024,1-3
5,Long,2025-07-14,signal bar close,2025-07-15,319.67999267578125,14.980476838884211,297.2092774174549,1,1,2025-07-16,312.79998779296875,TREND_EXIT,2,True,False,-0.02152153728866668,2025-07-16,OPEN,,False,True,0.004754815959945313,-0.028716193963040926,0.004754815959945313,0.004754815959945313,-0.028716193963040926,-0.028716193963040926,2025-07-15,0,-4.526260841631862,0.026276353248611994,20,True,19,0.08433440499981204,-0.028716193963040926,0.004754815959945313,,-0.028716193963040926,False,,,,,,,,,,,ADX 18-25,pullback,TSLA,IN-SAMPLE,2025,1-3
6,Long,2026-01-09,signal bar close,2026-01-12,441.2300109863281,16.502410055843033,416.4763959025636,1,1,2026-01-15,441.1300048828125,TREND_EXIT,4,True,False,-0.00022665299509450065,2026-01-15,OPEN,,False,True,0.029621685926176866,-0.015887427398591503,0.029621685926176866,0.029621685926176866,-0.015887427398591503,-0.015887427398591503,2026-01-12,0,-0.007651589975647065,0.029848338921271367,20,True,17,0.02538354466056525,-0.015887427398591503,0.029621685926176866,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,,,,,ADX 18-25,pullback,TSLA,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,4-5
7,Long,2026-01-22,signal bar close,2026-01-23,447.42999267578125,15.692100124702451,423.89184248872755,1,1,2026-01-27,437.4100036621094,TREND_EXIT,3,True,False,-0.02239454032517796,2026-01-27,OPEN,,False,True,0.011174932574587348,-0.02939005902988978,0.011174932574587348,0.011174932574587348,-0.02939005902988978,-0.02939005902988978,2026-01-23,0,-2.0039978027343857,0.03356947289976531,20,True,18,0.0,-0.02939005902988978,0.011174932574587348,1.0,0.0,False,1.0,1.0,1.0,1.0,,,,,,,ADX 18-25,pullback,TSLA,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
8,Long,2026-06-12,signal bar close,2026-06-15,412.3699951171875,18.102907632657477,385.2156336682013,1,1,2026-06-17,401.5299987792969,TREND_EXIT,3,True,False,-0.02628706372007039,2026-06-17,OPEN,,False,True,0.008802786152714459,-0.028687796668872,0.008802786152714459,0.008802786152714459,-0.028687796668872,-0.028687796668872,2026-06-15,0,-2.9862208696236947,0.03508984987278485,20,True,18,0.04968836354971007,-0.028687796668872,0.008802786152714459,,-0.028687796668872,False,1.0,1.0,,,,,,,,,ADX 18-25,pullback,TSLA,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
