signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-11-23,Long,1,1,FLAT,,FILLED,1,2021-11-24,True,False,pullback,GS,early_3
2024-09-16,Long,1,1,FLAT,,FILLED,2,2024-09-17,True,False,pullback,GS,early_3
2025-10-20,Long,1,1,FLAT,,FILLED,3,2025-10-21,True,False,pullback,GS,early_3
2025-10-24,Long,1,1,FLAT,,FILLED,4,2025-10-27,True,False,pullback,GS,early_3
2026-02-06,Long,1,1,FLAT,,FILLED,5,2026-02-09,True,False,pullback,GS,early_3
2026-02-17,Long,1,1,FLAT,,FILLED,6,2026-02-18,True,False,pullback,GS,early_3
2026-04-01,Long,1,1,FLAT,,FILLED,7,2026-04-02,True,False,pullback,GS,early_3
