signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2022-03-04,Long,4,1,FLAT,,FILLED,1,2022-03-07,True,False,squeeze,LLY,skip_candle_range_atr_2
2024-02-01,Long,4,1,FLAT,,FILLED,2,2024-02-02,True,False,squeeze,LLY,skip_candle_range_atr_2
2024-02-05,Long,4,1,Long,2,IGNORED_POSITION_OPEN,,,,,squeeze,LLY,skip_candle_range_atr_2
2024-07-10,Long,4,1,FLAT,,FILLED,3,2024-07-11,True,False,squeeze,LLY,skip_candle_range_atr_2
