blocker,feature,bin,observations,complete,positive,positive_rate,median_feature,mean
sq_long_fail_recent,distance_to_breakout_atr,2,99,95,54,0.5684210526315789,-0.2606304429689111,0.008774963984082236
sq_long_fail_recent,distance_to_breakout_atr,3,118,113,61,0.5398230088495575,0.04653799946084375,0.0020391479032952527
sq_long_fail_recent,distance_to_breakout_atr,4,71,69,37,0.5362318840579711,0.318055125636795,0.00778407094937347
sq_long_fail_recent,distance_to_breakout_atr,5,103,99,58,0.5858585858585859,0.778923456825384,0.010467630088018745
sq_long_fail_recent,bb_width,1,46,46,25,0.5434782608695652,0.07303680370807161,0.008144725921435158
sq_long_fail_recent,bb_width,2,74,74,45,0.6081081081081081,0.09470267411830621,0.0073135012866377075
sq_long_fail_recent,bb_width,3,96,93,61,0.6559139784946236,0.12205341479313331,0.00844131190575868
sq_long_fail_recent,bb_width,4,120,115,59,0.5130434782608696,0.15609610263367668,0.002518445800273866
sq_long_fail_recent,bb_width,5,265,251,137,0.545816733067729,0.26572030022222376,0.0130789944204736
sq_long_fail_recent,distance_to_squeeze_pct,1,10,10,6,0.6,7.6637349155662005,0.004494333102300452
sq_long_fail_recent,distance_to_squeeze_pct,2,27,26,7,0.2692307692307692,19.3640207139262,-0.03890343667293099
sq_long_fail_recent,distance_to_squeeze_pct,3,28,28,11,0.39285714285714285,35.482885264217785,-0.02231695638697959
sq_long_fail_recent,distance_to_squeeze_pct,4,74,73,44,0.6027397260273972,52.626556295145335,0.014150411411949459
sq_long_fail_recent,distance_to_squeeze_pct,5,430,410,244,0.5951219512195122,121.62372374719718,0.013939731307275646
sq_long_fail_recent,distance_to_upper_band_atr,1,96,85,52,0.611764705882353,-0.9666004088026985,0.014445096598369024
sq_long_fail_recent,distance_to_upper_band_atr,2,116,111,64,0.5765765765765766,-0.5298301214944736,0.012027260575112355
sq_long_fail_recent,distance_to_upper_band_atr,3,124,121,66,0.5454545454545454,-0.3181861981806416,0.002747501379119931
sq_long_fail_recent,distance_to_upper_band_atr,4,116,115,64,0.5565217391304348,-0.1821800206234299,0.012625318377061531
sq_long_fail_recent,distance_to_upper_band_atr,5,149,147,81,0.5510204081632653,-0.06385477349339252,0.006300196914753112
sq_long_fail_recent,bars_since_rsi_up,1,112,111,53,0.4774774774774775,2.0,0.0016730830566065648
sq_long_fail_recent,bars_since_rsi_up,2,37,36,25,0.6944444444444444,4.0,0.02385367880081246
sq_long_fail_recent,bars_since_rsi_up,3,106,100,61,0.61,6.0,0.012024228452543686
sq_long_fail_recent,bars_since_rsi_up,4,142,135,73,0.5407407407407407,7.0,0.006021571010346743
sq_long_fail_recent,bars_since_rsi_up,5,195,188,111,0.5904255319148937,11.0,0.011025607147921328
sq_long_fail_recent,bars_since_oversold,1,114,114,47,0.41228070175438597,26.0,-0.007220810591139515
sq_long_fail_recent,bars_since_oversold,2,86,86,55,0.6395348837209303,76.0,0.014841212335145617
