feature,bin,group,group_value,observations,complete,median_feature,mean,median,positive_rate,mean_mfe,mean_mae
rsi,1,year,2022,6,6,62.46348867498838,0.007259904030105402,-0.026639753843083203,0.3333333333333333,0.07527178173759946,-0.058641947119556594
rsi,1,year,2023,12,12,64.60236976070155,-0.013838847742639196,-0.01893684387703809,0.4166666666666667,0.028422047915893627,-0.044938696991811605
rsi,1,year,2024,16,16,64.57801452480581,0.012469353509167766,0.005718669967326284,0.5625,0.05098116239597095,-0.026573243842817784
rsi,1,year,2025,12,9,64.32891289136023,0.008543194063349888,0.02607756561813468,0.5555555555555556,0.06191936635103206,-0.05535610017841043
rsi,1,symbol,AMD,1,1,58.68100615882579,-0.03811697389584778,-0.03811697389584778,0.0,0.04941983484766843,-0.048457869716014845
rsi,1,symbol,AMZN,1,1,66.3762615177515,-0.0564110986558547,-0.0564110986558547,0.0,0.025395778690430415,-0.06284111105284729
rsi,1,symbol,BAC,2,2,64.11132422271976,-0.04850194380134565,-0.04850194380134565,0.0,0.050991020612512594,-0.05215673997205694
rsi,1,symbol,COST,3,3,66.02105945647156,0.018734673143800434,0.030025308312984667,0.6666666666666666,0.050004430801699584,-0.03826021747253031
rsi,1,symbol,CRM,2,2,62.80391822246474,-0.05411694544373308,-0.05411694544373308,0.0,0.00560633719796122,-0.07051647770398983
rsi,1,symbol,CRWD,1,0,58.08483407301642,,,,,
rsi,1,symbol,CVX,1,1,62.78059562270942,-0.023051505045591503,-0.023051505045591503,0.0,0.00598097780027218,-0.07158426657279371
rsi,1,symbol,DDOG,1,1,61.01456747208682,0.24338505606326688,0.24338505606326688,1.0,0.24488417114273808,-0.004272598070399702
rsi,1,symbol,ETN,3,1,65.65740843073107,0.0662780001846397,0.0662780001846397,1.0,0.06649797316010786,-0.0358616377537746
rsi,1,symbol,GE,2,2,65.43641011349446,-0.09218236504976235,-0.09218236504976235,0.5,0.017882148273136167,-0.145052365080364
rsi,1,symbol,GOOGL,1,1,66.14204703549235,0.009032795359320112,0.009032795359320112,1.0,0.01857970781609275,-0.023646921230828566
rsi,1,symbol,GS,2,2,62.67907530629359,0.016905892638574227,0.016905892638574227,1.0,0.043881066747153974,-0.003271243953358649
rsi,1,symbol,HON,1,1,60.93330188609934,-0.015535583027063149,-0.015535583027063149,0.0,0.0,-0.05074314140401681
rsi,1,symbol,HOOD,2,2,66.00659726851214,0.05684728412548179,0.05684728412548179,0.5,0.11352697469424089,-0.003644756534235627
rsi,1,symbol,JPM,2,2,66.14936195339423,0.010221943304827619,0.010221943304827619,1.0,0.01982608455973145,-0.004749427949982121
rsi,1,symbol,LLY,1,1,61.51989568345499,0.006333130135582676,0.006333130135582676,1.0,0.028029452823474577,-0.03927160264581231
rsi,1,symbol,META,2,2,63.75130206425122,0.053548579351192505,0.053548579351192505,0.5,0.07757653750515281,-0.021674766279969948
rsi,1,symbol,MSFT,3,3,65.17402340567436,-0.0417582994447843,-0.06036572690154207,0.3333333333333333,0.013709444624113424,-0.05194468904533337
rsi,1,symbol,NFLX,1,1,64.58122341090026,-0.00043186380177706596,-0.00043186380177706596,0.0,0.0055740978354199555,-0.026143632948911977
rsi,1,symbol,NOW,1,1,62.211589994832465,-0.02093486808699918,-0.02093486808699918,0.0,0.028804488699327502,-0.024336577560441497
rsi,1,symbol,NVDA,1,1,64.03071611572875,0.06946593909426224,0.06946593909426224,1.0,0.09183218864713028,-0.037906060770428573
rsi,1,symbol,ORCL,2,2,65.08327526322729,-0.0015703995752373578,-0.0015703995752373578,0.5,0.03584732050061756,-0.03695019336640898
rsi,1,symbol,RTX,3,3,61.07479047197566,0.010546505202036852,-0.016938819667077,0.3333333333333333,0.04557217647486089,-0.017775685297941563
rsi,1,symbol,SHOP,1,1,66.06788531695513,-0.11352584915273145,-0.11352584915273145,0.0,0.006990867220945551,-0.135562333889653
rsi,1,symbol,SMCI,1,1,62.13829099601535,0.18750968933390744,0.18750968933390744,1.0,0.33193866040164877,-0.026809213856401448
rsi,1,symbol,TSLA,1,1,64.57480563871135,-0.03667999267578126,-0.03667999267578126,0.0,0.059439941406250085,-0.048760009765625
rsi,1,symbol,UBER,2,2,58.57601024542741,0.0179262436878741,0.0179262436878741,1.0,0.05975955058696747,-0.022424936091158143
rsi,1,symbol,WMT,1,1,58.19132005508407,0.02607756561813468,0.02607756561813468,1.0,0.04094822518749153,-0.023599163463225437
rsi,1,symbol,XOM,1,1,65.88330155867123,-0.030228002640574902,-0.030228002640574902,0.0,-0.01630044182482393,-0.10987311969821822
rsi,2,year,2022,4,4,68.09040357642215,0.05073969569261608,0.035116801676641995,0.5,0.08231189694805874,-0.03966857206373314
rsi,2,year,2023,14,14,67.85441454974548,-0.004095896734129102,-0.002386355613196056,0.42857142857142855,0.032500127433007446,-0.04174161726230403
rsi,2,year,2024,20,20,68.42710479397354,-0.01720793359434116,-0.0006772010356034808,0.5,0.03931133087194109,-0.04808862660912653
rsi,2,year,2025,7,7,67.2969324106393,-0.06420566954270705,-0.016585814981919023,0.2857142857142857,0.027692624599562916,-0.099642027946252
rsi,2,symbol,BAC,2,2,68.7581411306744,-0.011521803787105156,-0.011521803787105156,0.5,0.03316596275169381,-0.026975735871145934
rsi,2,symbol,CAT,2,2,67.1329066999605,-0.032913476889647464,-0.032913476889647464,0.5,0.03500436300654719,-0.06321079245456307
rsi,2,symbol,COST,1,1,67.77663506884743,0.050366138195252264,0.050366138195252264,1.0,0.0562476309610338,0.0002619984203342529
rsi,2,symbol,CRM,2,2,68.6330792189905,-0.019461979363052107,-0.019461979363052107,0.0,0.036420370030258664,-0.029275011688615904
rsi,2,symbol,CVX,1,1,67.7589254483925,-0.023995559317820936,-0.023995559317820936,0.0,-0.011723032014016699,-0.0901208610138402
rsi,2,symbol,ETN,1,1,68.32817070784893,-0.1456355216054942,-0.1456355216054942,0.0,0.022478285871176285,-0.1931347708214015
rsi,2,symbol,GE,2,2,67.38548706897575,0.013407170073811647,0.013407170073811647,1.0,0.01868770885480009,-0.02507175862541472
rsi,2,symbol,GOOGL,2,2,68.5961565146643,-0.00906767345620213,-0.00906767345620213,0.5,0.046676467578373515,-0.04076324495214323
rsi,2,symbol,GS,1,1,67.79642913288792,-0.04422462177786601,-0.04422462177786601,0.0,-0.019278052018925518,-0.101176460796499
rsi,2,symbol,HD,2,2,67.17282684026324,-0.0064244072753854575,-0.0064244072753854575,0.5,0.02693597920806179,-0.02263060652970178
rsi,2,symbol,HOOD,1,1,67.20904388260342,-0.013943424467749987,-0.013943424467749987,0.0,0.051416050483652054,-0.033115477281774774
rsi,2,symbol,JPM,2,2,68.24338102261683,-0.007047907364130135,-0.007047907364130135,0.5,0.013919198722321502,-0.032337501058994744
rsi,2,symbol,LLY,1,1,67.37404808420368,0.09422916267110493,0.09422916267110493,1.0,0.1083425705304697,-0.019058887886354348
rsi,2,symbol,MA,3,3,67.77425422723806,0.01788816055374139,0.02436857027569639,0.6666666666666666,0.03793783104946469,-0.018216444567438317
rsi,2,symbol,MRVL,1,1,68.45757276846497,-0.17363146469542168,-0.17363146469542168,0.0,0.08929249942268358,-0.1939540660659217
rsi,2,symbol,MS,3,3,67.1122272373265,0.006116222141063998,0.010963795588809555,0.6666666666666666,0.019691731025564357,-0.04020140369463898
rsi,2,symbol,MSFT,1,1,69.20093822070667,0.054701778601244255,0.054701778601244255,1.0,0.055371096089873895,-0.009421586353150602
rsi,2,symbol,NFLX,1,1,67.34699778644782,0.10449969528152558,0.10449969528152558,1.0,0.13274585017498475,-0.030244130815218262
rsi,2,symbol,NOW,2,2,69.29983838904103,0.04037860400020332,0.04037860400020332,1.0,0.061804993005032394,-0.007804145128839257
rsi,2,symbol,ORCL,3,3,69.18697742021958,-0.01236386983112836,-0.001991714521080712,0.3333333333333333,0.04431417098597542,-0.037125304631078916
