feature,count,missing,mean,median,q20,q80
rsi,228,0,71.0074031182421,71.10722139921054,66.76323764588696,75.33742908142582
rsi_distance_from_avg,228,0,9.886624882973342,9.350658556397821,6.885925038292377,12.454353476198326
htf_adx,228,0,28.497236552732595,25.371330801041765,20.71961582184688,35.51024622735512
adx_margin,228,0,10.497236552732598,7.371330801041763,2.719615821846881,17.510246227355122
ema_spread_pct,228,0,10.47372402276462,8.606901766740435,4.72711491593737,14.895376702787692
atr_pct,228,0,2.5408620006962646,2.317415255278183,1.802247052920739,3.2063261866823134
candle_range_atr,228,0,0.9694582826638489,0.8910331265991113,0.6968993678975252,1.2315802170778967
volume_ratio,228,0,1.2009175990412368,1.0707510182824098,0.8596805814736224,1.448389074292752
distance_to_breakout_atr,228,0,0.022345283334307096,0.05541033419599834,-0.4224213906887046,0.484848354932668
bb_width,228,0,0.13959344277810284,0.12116949955115439,0.08210281805301296,0.18226402672312877
distance_to_squeeze_pct,228,0,40.349133819558375,31.57320157298793,11.505713524815912,63.525011032335364
distance_to_upper_band_atr,228,0,-0.41913729558640167,-0.33701922672187307,-0.687339050385937,-0.12216142251697461
bars_since_rsi_up,228,0,5.631578947368421,6.0,3.0,8.0
bars_since_oversold,221,7,170.08597285067873,126.0,58.0,273.0
bars_since_squeeze,228,0,2.0482456140350878,2.0,1.0,3.0
