hypothesis_id,module,kind,feature,observation,interpretation,expected_direction,discovery_a_n,discovery_b_n,discovery_delta,discovery_trimmed_delta,action,holdout_test
squeeze:filter:sq_long_fail_trend,squeeze,filter,sq_long_fail_trend,POTENTIALLY TOO STRICT,Single-blocker minus approved pure mean forward return; observational association,1,225,350,0.020138556235730923,0.01562553367641193,TEST RELAXATION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
squeeze:filter:sq_long_fail_recent,squeeze,filter,sq_long_fail_recent,MIXED,Single-blocker minus approved pure mean forward return; observational association,1,225,579,0.0051971362734725985,0.004231049151112779,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
squeeze:filter:sq_long_fail_release,squeeze,filter,sq_long_fail_release,MIXED,Single-blocker minus approved pure mean forward return; observational association,-1,225,195,-0.008533251994173067,-0.005776285562105178,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
squeeze:filter:sq_long_fail_price,squeeze,filter,sq_long_fail_price,MIXED,Single-blocker minus approved pure mean forward return; observational association,1,225,986,0.005996363234714051,0.008039230815396219,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
squeeze:filter:long_fail_direction,squeeze,filter,long_fail_direction,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,225,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
squeeze:filter:long_fail_volatility,squeeze,filter,long_fail_volatility,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,225,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
squeeze:filter:long_fail_candle,squeeze,filter,long_fail_candle,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,1,225,7,0.005088497188533624,0.00613645689524734,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
squeeze:filter:long_fail_session,squeeze,filter,long_fail_session,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,225,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
squeeze:filter:long_fail_confirmed,squeeze,filter,long_fail_confirmed,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,225,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
squeeze:feature:rsi,squeeze,feature,rsi,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,43,46,0.009044082641450332,0.011299268180005135,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
