direction,module,dominant_blocker,opportunity_events,converted_events,censored_events,eligible_events,eligible_converted_events,conversion_rate,median_bars_to_conversion,mean_bars_to_conversion,eligible_events_1,converted_events_within_1,conversion_rate_within_1,eligible_events_3,converted_events_within_3,conversion_rate_within_3,eligible_events_5,converted_events_within_5,conversion_rate_within_5,scope
Long,Squeeze,Price,457,31,4,452,30,6.637168141592921,1.0,1.1935483870967742,455,27,5.934065934065933,453,30,6.622516556291391,452,30,6.637168141592921,existing module events including overlap; not pure signals
Long,Squeeze,Recent Squeeze,487,2,7,480,2,0.4166666666666667,3.5,3.5,483,0,0.0,482,1,0.2074688796680498,480,2,0.4166666666666667,existing module events including overlap; not pure signals
Long,Squeeze,Release,232,111,4,227,110,48.458149779735685,1.0,1.3783783783783783,229,92,40.174672489082965,228,106,46.49122807017544,227,110,48.458149779735685,existing module events including overlap; not pure signals
Long,Squeeze,Trend,221,31,3,218,31,14.220183486238533,1.0,1.032258064516129,219,30,13.698630136986301,219,31,14.15525114155251,218,31,14.220183486238533,existing module events including overlap; not pure signals
