signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol
2023-06-02,Long,2,1,FLAT,,FILLED,1,2023-06-05,True,False,breakout,ETN
2023-06-07,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2023-06-29,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2023-08-25,Long,2,1,FLAT,,FILLED,2,2023-08-28,True,False,breakout,ETN
2023-09-07,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2023-10-12,Long,2,1,FLAT,,FILLED,3,2023-10-13,True,False,breakout,ETN
2023-11-02,Long,2,1,FLAT,,FILLED,4,2023-11-03,True,False,breakout,ETN
2024-01-11,Long,2,1,FLAT,,FILLED,5,2024-01-12,True,False,breakout,ETN
2024-01-19,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2024-01-29,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2024-01-30,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2024-02-01,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2024-02-02,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2024-02-22,Long,2,1,FLAT,,FILLED,6,2024-02-23,True,False,breakout,ETN
2024-02-29,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2024-03-07,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2024-03-21,Long,2,1,FLAT,,FILLED,7,2024-03-22,True,False,breakout,ETN
2024-03-22,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2024-04-03,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2024-04-05,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,ETN
2024-04-29,Long,2,1,FLAT,,FILLED,8,2024-04-30,True,False,breakout,ETN
2024-10-17,Long,2,1,FLAT,,FILLED,9,2024-10-18,True,False,breakout,ETN
2024-11-06,Long,2,1,FLAT,,FILLED,10,2024-11-07,True,False,breakout,ETN
2024-11-22,Long,2,1,FLAT,,FILLED,11,2024-11-25,True,False,breakout,ETN
2025-07-17,Long,2,1,FLAT,,FILLED,12,2025-07-18,True,False,breakout,ETN
2026-02-11,Long,2,1,FLAT,,FILLED,13,2026-02-12,True,False,breakout,ETN
2026-04-23,Long,2,1,FLAT,,FILLED,14,2026-04-24,True,False,breakout,ETN
2026-04-30,Long,2,1,FLAT,,FILLED,15,2026-05-01,True,False,breakout,ETN
