hypothesis_id,module,kind,feature,observation,interpretation,expected_direction,discovery_a_n,discovery_b_n,discovery_delta,discovery_trimmed_delta,action,holdout_test
pullback:filter:pb_long_fail_trend,pullback,filter,pb_long_fail_trend,SUPPORTED,Single-blocker minus approved pure mean forward return; observational association,-1,288,460,-0.011517116693331445,-0.005718585374395128,KEEP CURRENT RULE,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
pullback:filter:pb_long_fail_slow_ema,pullback,filter,pb_long_fail_slow_ema,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,288,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
pullback:filter:pb_long_fail_rsi,pullback,filter,pb_long_fail_rsi,MIXED,Single-blocker minus approved pure mean forward return; observational association,-1,288,190,-0.030002716121101426,-0.021559786505406464,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
pullback:filter:pb_long_fail_touch,pullback,filter,pb_long_fail_touch,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,288,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
pullback:filter:pb_long_fail_reclaim,pullback,filter,pb_long_fail_reclaim,MIXED,Single-blocker minus approved pure mean forward return; observational association,-1,288,2463,-0.002654891702731508,0.0010261254125642147,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
pullback:filter:long_fail_direction,pullback,filter,long_fail_direction,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,288,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
pullback:filter:long_fail_volatility,pullback,filter,long_fail_volatility,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,288,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
pullback:filter:long_fail_candle,pullback,filter,long_fail_candle,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,1,288,7,0.01534228782026928,0.02060999176300092,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
pullback:filter:long_fail_session,pullback,filter,long_fail_session,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,288,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
pullback:filter:long_fail_confirmed,pullback,filter,long_fail_confirmed,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,288,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
