direction,module,dominant_blocker,opportunity_events,converted_events,censored_events,eligible_events,eligible_converted_events,conversion_rate,median_bars_to_conversion,mean_bars_to_conversion,eligible_events_1,converted_events_within_1,conversion_rate_within_1,eligible_events_3,converted_events_within_3,conversion_rate_within_3,eligible_events_5,converted_events_within_5,conversion_rate_within_5,scope
Long,Pullback,RSI,138,20,1,137,20,14.5985401459854,4.0,3.65,138,1,0.7246376811594203,137,9,6.569343065693431,137,20,14.5985401459854,existing module events including overlap; not pure signals
Long,Pullback,Reclaim,1041,276,7,1033,275,26.621490803484992,1.0,1.5978260869565217,1039,216,20.78922040423484,1036,240,23.166023166023166,1033,275,26.621490803484992,existing module events including overlap; not pure signals
Long,Pullback,Trend,460,2,2,458,2,0.43668122270742354,3.0,3.0,459,1,0.2178649237472767,458,1,0.21834061135371177,458,2,0.43668122270742354,existing module events including overlap; not pure signals
