feature,bin,horizon,median_feature,observations,complete,censored,symbols,years,mean,median,q10,q90,positive,negative,positive_rate,trimmed_mean,mean_mfe,median_mfe,mean_mae,median_mae,mean_without_top_1,mean_without_bottom_1,top_1_influence,mean_without_top_3,mean_without_bottom_3,top_3_influence,mean_without_top_5,mean_without_bottom_5,top_5_influence,target_3_stop_2_resolved,target_3_stop_2_target_before_stop_count,target_3_stop_2_stop_before_target_count,target_3_stop_2_neither_count,target_3_stop_2_ambiguous_count,target_3_stop_2_censored_count,target_3_stop_2_rate,target_5_stop_3_resolved,target_5_stop_3_target_before_stop_count,target_5_stop_3_stop_before_target_count,target_5_stop_3_neither_count,target_5_stop_3_ambiguous_count,target_5_stop_3_censored_count,target_5_stop_3_rate
rsi,1,1,46.57763876668853,59,59,0,35,5,-0.0012662296008915598,0.0013716730622621576,-0.03616766928070871,0.04085052626390749,30,29,0.5084745762711864,0.00029037323160944047,0.017737537010340133,0.011577567992482551,-0.018153166701704086,-0.013405685521104216,-0.0023780307753614133,0.0005617570218212726,0.0011118011744698534,-0.004669652609765086,0.0032611190016794372,0.0034034230088735265,-0.006544106337982906,0.005424120076802545,0.005277876737091345,59,30,29,0,0,0,0.5084745762711864,59,27,31,1,0,0,0.4576271186440678
rsi,1,3,46.57763876668853,59,59,0,35,5,0.005539747357341386,0.009654233322286876,-0.05061121076605725,0.05372628838796506,35,24,0.5932203389830508,0.003256652836986296,0.041595515178346094,0.026833080747904914,-0.036525190883086936,-0.017739426252889823,-0.0014397769556269261,0.010110422244779451,0.006979524312968312,-0.007829744462480834,0.015724314998340035,0.013369491819822221,-0.010724657828314057,0.019732455663415364,0.01626440518565544,59,30,29,0,0,0,0.5084745762711864,59,27,31,1,0,0,0.4576271186440678
rsi,1,5,46.57763876668853,59,59,0,35,5,0.014412973209940127,0.014535838160021575,-0.07976353970590706,0.09700592056887292,39,20,0.6610169491525424,0.011751867727383052,0.05486340845467515,0.032911148183346395,-0.041838894832452844,-0.018731866074532366,0.008649676263918294,0.017957829903699034,0.005763296946021833,0.0020358134527111737,0.02349307927634605,0.012377159757228954,-0.002125248001185695,0.0285364875943012,0.01653822121112582,59,30,29,0,0,0,0.5084745762711864,59,27,31,1,0,0,0.4576271186440678
rsi,1,10,46.57763876668853,59,58,1,35,5,0.041702190160904616,0.019337819596867756,-0.04644920348380097,0.13333295705365555,37,21,0.6379310344827587,0.030263895975762983,0.08371175923277197,0.04955514578958842,-0.05022522092224314,-0.03412961785486529,0.034729513586517116,0.04477588896472969,0.0069726765743875,0.023623273817645573,0.04970089115062669,0.018078916343259043,0.019275766994933493,0.05376940349882295,0.022426423165971123,59,30,29,0,0,0,0.5084745762711864,59,27,31,1,0,0,0.4576271186440678
rsi,1,20,46.57763876668853,59,55,4,35,5,0.057399400609137514,0.03824826172888818,-0.07162794413688382,0.22610222331485735,35,20,0.6363636363636364,0.0432548870637482,0.11906126496461224,0.08922929555377879,-0.07033133058741341,-0.047123663084361556,0.04755835646645483,0.06234862075506054,0.009841044142682685,0.03401658346215734,0.06997093534228979,0.02338281714698017,0.02545053175358089,0.07661820727384375,0.031948868855556624,59,30,29,0,0,0,0.5084745762711864,59,27,31,1,0,0,0.4576271186440678
rsi,2,1,49.18965852260665,58,58,0,32,5,0.0017592464398456845,0.0012785368680430231,-0.025672645105832004,0.030539728349384416,31,27,0.5344827586206896,0.0009566273192587136,0.0168264087591821,0.013163677645417704,-0.012728024851258457,-0.008915508090452995,0.0006892090732455019,0.0027450027655650765,0.0010700373666001827,-0.00120216234881353,0.004123422748002227,0.0029614087886592148,-0.0026293123185254954,0.005420904862590928,0.00438855875837118,56,26,30,0,2,0,0.4642857142857143,56,27,27,2,2,0,0.48214285714285715
rsi,2,3,49.18965852260665,58,58,0,32,5,0.0013739023867876227,0.004323313745294821,-0.05116367604178174,0.0572278643454903,33,25,0.5689655172413793,0.0024671899458310865,0.030627597149419494,0.0215931991285363,-0.029234829653498974,-0.01715164474264841,-0.0010923528379531077,0.0038337662165377835,0.0024662552247407305,-0.005110317884494634,0.008065799201820885,0.006484220271282257,-0.008014475943228279,0.01175242794008817,0.009388378330015901,56,26,30,0,2,0,0.4642857142857143,56,27,27,2,2,0,0.48214285714285715
rsi,2,5,49.18965852260665,58,58,0,32,5,-0.004799196518395589,0.0034585918211933464,-0.08583557693869025,0.05078744027455975,31,27,0.5344827586206896,-0.00243779824783961,0.03763130313152589,0.026732744624777816,-0.04000709126436235,-0.022502611432613784,-0.006987965743636112,-0.0023333399793941346,0.0021887692252405234,-0.010461794133516111,0.001959221314724276,0.005662597615120522,-0.013497743983985814,0.006037975796000052,0.008698547465590225,56,26,30,0,2,0,0.4642857142857143,56,27,27,2,2,0,0.48214285714285715
rsi,2,10,49.18965852260665,58,58,0,32,5,-0.0017477129048730587,-0.0010383142725872707,-0.07016891577068833,0.07853825005496931,29,29,0.5,-0.00205025741572943,0.052852212478116646,0.04378900297917898,-0.05422679208030655,-0.035084744373444166,-0.004323794207691724,0.0015237390316190568,0.002576081302818665,-0.008697581495565238,0.005752232567422067,0.006949868590692179,-0.012893763458779454,0.009124335073163417,0.011146050553906396,56,26,30,0,2,0,0.4642857142857143,56,27,27,2,2,0,0.48214285714285715
rsi,2,20,49.18965852260665,58,58,0,32,5,0.0046802062755497776,0.010995458495973609,-0.11229483441596104,0.1403586357487334,36,22,0.6206896551724138,0.008809231757877851,0.07762872623685517,0.06429297854995641,-0.0837353915536198,-0.06508719889110248,0.0007247456006357559,0.01127648470245273,0.003955460674914021,-0.0060757394959603216,0.01871837145752317,0.010755945771510098,-0.012359387995384162,0.025459295322931782,0.01703959427093394,56,26,30,0,2,0,0.4642857142857143,56,27,27,2,2,0,0.48214285714285715
