blocker,feature,bin,observations,complete,positive,positive_rate,median_feature,mean
pb_long_fail_rsi,bars_since_oversold,2,24,24,12,0.5,64.0,-0.014122814287883317
pb_long_fail_rsi,bars_since_oversold,3,32,29,14,0.4827586206896552,115.0,-0.010846556321007277
pb_long_fail_rsi,bars_since_oversold,4,34,33,14,0.42424242424242425,216.0,-0.03197391978319164
pb_long_fail_rsi,bars_since_oversold,5,34,34,23,0.6764705882352942,356.0,0.021144271048605168
pb_long_fail_rsi,bars_since_squeeze,1,35,33,17,0.5151515151515151,0.0,0.0017146254800063006
pb_long_fail_rsi,bars_since_squeeze,2,36,34,18,0.5294117647058824,2.5,-0.012485423672906363
pb_long_fail_rsi,bars_since_squeeze,3,22,22,13,0.5909090909090909,10.0,0.011649458969352822
pb_long_fail_rsi,bars_since_squeeze,4,44,44,19,0.4318181818181818,20.5,-0.032555757068333045
pb_long_fail_rsi,bars_since_squeeze,5,40,40,24,0.6,35.0,-0.008884674371470025
pb_long_fail_trend,rsi,1,27,25,10,0.4,47.526474837279316,-0.009653802035819949
pb_long_fail_trend,rsi,2,54,54,29,0.5370370370370371,49.29588036994232,0.0015131816530641535
pb_long_fail_trend,rsi,3,77,76,48,0.631578947368421,50.968451156056574,0.02346968979007059
pb_long_fail_trend,rsi,4,127,125,71,0.568,52.44026783231788,0.010538248776989214
pb_long_fail_trend,rsi,5,184,180,95,0.5277777777777778,55.70637040108241,0.003492063185985341
pb_long_fail_trend,rsi_distance_from_avg,1,77,76,43,0.5657894736842105,0.21505273545531622,0.010249204532659623
pb_long_fail_trend,rsi_distance_from_avg,2,150,145,86,0.593103448275862,2.8653448562717507,0.007962258190062224
pb_long_fail_trend,rsi_distance_from_avg,3,99,99,57,0.5757575757575758,5.6857122520890755,0.005286144813461745
pb_long_fail_trend,rsi_distance_from_avg,4,76,74,44,0.5945945945945946,8.52120735638244,0.014847204486881121
pb_long_fail_trend,rsi_distance_from_avg,5,67,66,23,0.3484848484848485,11.885172530746509,0.00021859397595869358
pb_long_fail_trend,htf_adx,1,446,437,238,0.5446224256292906,14.701667765604991,0.006840042799772781
pb_long_fail_trend,htf_adx,2,6,6,3,0.5,20.316432241664046,-0.0027565345577487874
