module,configuration,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,ATR1.5-DYNAMIC-TRENDON,673,0,254,419,0,0.3774145616641902,0.044859117173472594,0.02900884547145166,-0.028001429294170245,-0.022378134368122637,-0.0005027980864714575,-0.011876687860598478,-0.0005027980864714575,0.9711587248637857,5.485884101040119,4.0,-0.21953813037602288,-0.05904902538566341,-0.08282083937070325,0.1205306855731157
breakout,ATR1.75-DYNAMIC-TRENDON,644,1,250,394,0,0.38819875776397517,0.05013660932927137,0.03077439518021685,-0.03214554652983872,-0.027755707623828785,-0.00020371583919039275,-0.013321378545184281,-0.00020371583919039275,0.9896415773125975,6.798136645962733,5.0,-0.21953813037602288,-0.06138192557478755,-0.08880956335657479,0.14361012001620382
breakout,ATR2-DYNAMIC-TRENDON,614,1,248,366,0,0.40390879478827363,0.05403019224493355,0.03300274091944255,-0.035947761088666826,-0.03155982639604238,0.0003951255998232316,-0.012667291702707584,0.0003951255998232316,1.0184395622665747,8.423452768729641,7.0,-0.21953813037602288,-0.06858570602496064,-0.09745813200714656,0.13246283894801295
breakout,ATR2.25-DYNAMIC-TRENDON,581,1,235,346,0,0.4044750430292599,0.06148116824757503,0.034869067848059876,-0.03846066570182882,-0.03445269162510817,0.001963311885279449,-0.01200897715837046,0.001963311885279449,1.085718099252939,10.099827882960414,8.0,-0.21953813037602288,-0.07778055748678603,-0.10290993613950436,0.1277776350983704
breakout,ATR2.5-DYNAMIC-TRENDOFF,545,2,227,318,0,0.41651376146788993,0.07140154321260726,0.03815778881963072,-0.045397102500973584,-0.041631030798072455,0.003251140759545414,-0.013232537858750226,0.003251140759545414,1.1227374286423053,12.622018348623854,10.0,-0.21953813037602288,-0.08480451496394759,-0.11612094506783514,0.13611864377895977
breakout,ATR2.5-DYNAMIC-TRENDON,547,2,223,324,0,0.4076782449725777,0.07051215528356179,0.0387848477951076,-0.04358127523099453,-0.04012459533558277,0.002932134284080534,-0.013197638432546288,0.002932134284080534,1.1135863745941654,12.06764168190128,10.0,-0.21953813037602288,-0.08377501175717122,-0.11096494859754368,0.14030792962673477
breakout,ATR2.5-LOCKED-TRENDON,531,3,219,312,0,0.4124293785310734,0.08254553293163988,0.037591412167510274,-0.045875593186238794,-0.04127271222283463,0.007089052048818515,-0.014175762461231756,0.007089052048818515,1.262994338327426,12.902071563088512,10.0,-0.21953813037602288,-0.0872222562926705,-0.11792891628340423,0.17389767787135563
breakout,ATR3-DYNAMIC-TRENDON,485,3,189,296,0,0.38969072164948454,0.09393446616185332,0.054193509009576646,-0.049467013621134835,-0.04315721651025706,0.006415212521101786,-0.017281290123153048,0.006415212521101786,1.2124933695895352,16.874226804123712,13.0,-0.21953813037602288,-0.1012557116230165,-0.13071773427355082,0.17066198892364426
squeeze,ATR1.5-DYNAMIC-TRENDON,205,0,66,139,0,0.32195121951219513,0.04261700691864032,0.02718297260661673,-0.02349071528983553,-0.01913995517647593,-0.0022072535056433047,-0.00910524178715233,-0.0022072535056433047,0.8614217620613764,5.453658536585366,4.0,-0.14879647972730503,-0.051812362426785906,-0.07530483916052841,0.3325884625202675
squeeze,ATR1.75-DYNAMIC-TRENDON,203,0,69,134,0,0.3399014778325123,0.05554967236843202,0.032869173111643946,-0.02783740219124168,-0.021968794362991817,0.0005059876837213024,-0.012132380174898705,0.0005059876837213024,1.0275361032361001,6.970443349753695,6.0,-0.2336822901848492,-0.05712954607901529,-0.09004684150103072,0.2985971409172161
squeeze,ATR2-DYNAMIC-TRENDON,201,0,65,136,0,0.32338308457711445,0.060705214600276586,0.03579821196680433,-0.031196420373653628,-0.023274078780839758,-0.001476986178104053,-0.01529465167594346,-0.001476986178104053,0.93002727032293,8.189054726368159,7.0,-0.2336822901848492,-0.06225781475153147,-0.0961930199871469,0.27038458823210176
squeeze,ATR2.25-DYNAMIC-TRENDON,199,1,67,132,0,0.33668341708542715,0.06505552716973353,0.04016258357789537,-0.03526602462250708,-0.027715643169115012,-0.0014894217577828583,-0.017317605916902123,-0.0014894217577828583,0.9363291961916722,9.743718592964823,8.0,-0.2336822901848492,-0.06814335724474936,-0.10363133887363825,0.3012886794848991
squeeze,ATR2.5-DYNAMIC-TRENDOFF,194,1,66,128,0,0.3402061855670103,0.081788895659874,0.053582172636585046,-0.037848526460606574,-0.03323052042904062,0.0028528645700723852,-0.01996861362832958,0.0028528645700723852,1.1142415113179194,12.015463917525773,8.0,-0.14879647972730503,-0.07583712654363468,-0.09501988700405495,0.3060898420924718
squeeze,ATR2.5-DYNAMIC-TRENDON,194,1,66,128,0,0.3402061855670103,0.081788895659874,0.053582172636585046,-0.036871951958035026,-0.03166704791833019,0.0034972023862020634,-0.01926292279803754,0.0034972023862020634,1.1437528279658231,11.95360824742268,8.0,-0.14879647972730503,-0.07507114978092018,-0.09352004371755626,0.3060898420924718
squeeze,ATR2.5-LOCKED-TRENDON,194,2,73,121,0,0.37628865979381443,0.07367072642989222,0.050448995754297066,-0.03854727125560233,-0.03322547280411736,0.0036790886982177853,-0.017785418409465625,0.0036790886982177853,1.153025207795467,11.829896907216495,8.0,-0.14879647972730503,-0.07662922685385448,-0.09410640684802794,0.27730123982203936
squeeze,ATR3-DYNAMIC-TRENDON,186,1,71,115,0,0.3817204301075269,0.10348957817891354,0.07616520253673764,-0.04637429131075157,-0.04094566782517495,0.01083180940842167,-0.02071537534353257,0.01083180940842167,1.3777798830420607,18.49462365591398,13.0,-0.20533914137417608,-0.08790224063364424,-0.1264159269248703,0.24609725583689918
