trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket,initial_risk_pct,realized_R,mfe_R
1,Long,2024-05-03,signal bar close,2024-05-06,455.5799865722656,18.45096726704533,418.678052038175,8,1,2024-05-31,458.8338077380996,ATR_STOP,19,True,False,0.0071421512395999365,2024-05-31,INTRABAR_STOP,TRAILING_STOP,True,True,0.059089543485607576,-0.0049167880512672735,0.059089543485607576,0.059089543485607576,-0.0049167880512672735,-0.0049167880512672735,2024-05-15,7,0.12086996815840265,0.05194739224600764,20,True,1,0.05272404460076041,-0.0049167880512672735,0.0439000847040667,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,ADX 25-40,meanrev,META,IN-SAMPLE,2024,16+,,,
1,Long,2025-03-05,signal bar close,2025-03-06,204.39999389648438,6.573198643960128,191.25359660856412,8,1,2025-03-10,192.12549285387874,ATR_STOP,3,True,False,-0.06005137675699679,2025-03-10,INTRABAR_STOP,TRAILING_STOP,True,True,0.0067025949945496155,,0.0067025949945496155,0.0067025949945496155,-0.06629152738542132,-0.06005137675699679,2025-03-06,0,-8.959421956097465,0.0667539717515464,20,True,17,0.00885524888175615,-0.06005137675699679,0.0067025949945496155,,-0.058072384890573425,False,1.0,1.0,,,,,,,,,ADX 25-40,meanrev,AMZN,IN-SAMPLE,2025,1-3,,,
1,Long,2023-12-19,signal bar close,2023-12-20,105.94999694824219,2.998145110742102,99.95370672675799,8,1,2024-01-03,102.17719326181272,ATR_STOP,9,True,False,-0.03560928546578934,2024-01-03,INTRABAR_STOP,TRAILING_STOP,True,True,0.009155273701206168,,0.009155273701206168,0.009155273701206168,-0.039735716901712514,-0.03560928546578934,2023-12-29,6,-3.8894834417782587,0.04476455916699551,20,True,11,0.04030207074519199,-0.017932930167166905,0.0050967525349825404,3.0,-0.017932930167166905,False,3.0,3.0,,,,,,,,,ADX 25-40,meanrev,ORCL,IN-SAMPLE,2023,6-10,,,
2,Long,2025-11-19,signal bar close,2025-11-20,231.16000366210938,11.430874872188165,208.29825391773304,8,1,2025-11-21,207.0800018310547,ATR_STOP,2,True,False,-0.10417027794415878,2025-11-21,OPEN,TRAILING_STOP,False,True,0.012285846569036751,-0.10417027794415878,0.012285846569036751,0.012285846569036751,-0.10417027794415878,-0.10417027794415878,2025-11-20,0,-8.478884817485236,0.11645612451319554,20,True,19,0.0,-0.10417027794415878,0.012285846569036751,,-0.09024052725333487,False,1.0,1.0,1.0,1.0,,,,,,,ADX 25-40,meanrev,ORCL,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3,,,
1,Long,2024-04-23,signal bar close,2024-04-24,278.0,7.408543856301714,263.18291228739656,8,1,2024-05-23,279.1750581223457,ATR_STOP,22,True,False,0.004226827778222031,2024-05-23,INTRABAR_STOP,TRAILING_STOP,True,True,0.04323737055277643,-0.04118709426989653,0.04323737055277643,0.04323737055277643,-0.04118709426989653,-0.04118709426989653,2024-05-16,16,0.09775866858190826,0.0390105427745544,20,True,0,,-0.03136691086583854,0.0033813037460657114,11.0,-0.04118709426989653,False,11.0,11.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,ADX 25-40,meanrev,CRM,IN-SAMPLE,2024,16+,,,
1,Long,2024-06-05,signal bar close,2024-06-06,141.24600219726562,4.703964873688883,131.83807244988785,8,1,2024-07-08,152.6999969482422,ATR_STOP,21,True,False,0.08109252348947749,2024-07-08,OPEN,TRAILING_STOP,False,True,0.14200754956032924,-0.025091020577748147,0.14200754956032924,0.14200754956032924,-0.025091020577748147,-0.025091020577748147,2024-07-05,19,0.5710437490158004,0.06091502607085175,20,True,0,,-0.025091020577748147,0.008679876992854219,3.0,-0.025091020577748147,False,1.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,9.0,9.0,ADX 18-25,meanrev,NOW,IN-SAMPLE,2024,16+,,,
2,Long,2025-02-26,signal bar close,2025-02-27,189.6320037841797,6.207306708613423,177.21739036695283,8,1,2025-03-04,178.42749975321064,ATR_STOP,4,True,False,-0.059085511977824745,2025-03-04,INTRABAR_STOP,TRAILING_STOP,True,True,0.005473729982556019,,0.005473729982556019,0.005473729982556019,-0.07511392070775957,-0.059085511977824745,2025-02-27,0,-10.79437826968478,0.06455924196038076,20,True,16,0.0,-0.04796663073356233,0.005473729982556019,,-0.04796663073356233,False,1.0,1.0,,,,,,,,,ADX 25-40,meanrev,NOW,IN-SAMPLE,2025,4-5,,,
1,Long,2023-08-21,signal bar close,2023-08-22,240.25,9.870857282515471,220.50828543496905,8,1,2023-09-21,257.75030406707475,ATR_STOP,22,True,False,0.07284205647065445,2023-09-21,INTRABAR_STOP,TRAILING_STOP,True,True,0.16120712169127205,-0.05023936451287725,0.16120712169127205,0.16120712169127205,-0.05023936451287725,-0.05023936451287725,2023-09-15,17,0.45185383689285363,0.0883650652206176,20,True,0,,-0.05023936451287725,0.0023725591018470826,6.0,-0.05023936451287725,False,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,ADX 25-40,meanrev,TSLA,IN-SAMPLE,2023,16+,,,
1,Long,2024-08-08,signal bar close,2024-08-09,17.799999237060547,1.3448080688549964,15.110383099350553,8,1,2024-09-03,19.63994027378134,ATR_STOP,17,True,False,0.10336747840359117,2024-09-03,INTRABAR_STOP,TRAILING_STOP,True,True,0.2101124628522406,-0.014044944422215822,0.2101124628522406,0.2101124628522406,-0.014044944422215822,-0.014044944422215822,2024-08-27,12,0.4919626232561144,0.10674498444864944,20,True,3,0.13707868756406505,-0.014044944422215822,0.05842702023054058,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,ADX 25-40,meanrev,HOOD,IN-SAMPLE,2024,16+,,,
1,Long,2025-03-14,signal bar close,2025-03-17,95.0199966430664,6.38111992003722,82.25775680299196,8,1,2025-03-28,99.1500015258789,ATR_STOP,10,True,False,0.0434645867051171,2025-03-28,OPEN,TRAILING_STOP,False,True,0.16817516229726848,-0.022205778315095293,0.16817516229726848,0.16817516229726848,-0.022205778315095293,-0.022205778315095293,2025-03-25,6,0.2584483113403427,0.12471057559215137,20,True,11,0.06766996982045237,-0.022205778315095293,0.08577143563258183,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,ADX 18-25,meanrev,SHOP,IN-SAMPLE,2025,6-10,,,
