module,regime,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,ADX 18-25,245,1,93,152,0,0.3795918367346939,0.0791226036138627,0.04449542520686611,-0.041326975128941706,-0.03796358452826748,0.004394701699959554,-0.01573616088267904,0.004394701699959554,1.171402944879595,12.526530612244898,10.0,-0.21953813037602288,-0.07856089466005127,-0.10378778301566571,0.19114763832303722
breakout,ADX 25-40,233,1,99,134,0,0.4248927038626609,0.07275713334789216,0.04256173009467479,-0.04406274581153445,-0.04012459533558277,0.005573168509423636,-0.010480445228906121,0.005573168509423636,1.2199286153950235,11.944206008583691,10.0,-0.15228433900624183,-0.08767343988008171,-0.11261254326410568,0.2946415371451664
breakout,ADX 40+,69,0,31,38,0,0.4492753623188406,0.03751136421624922,0.022369158835590097,-0.05090065832888083,-0.04794980757013745,-0.011179314866576024,-0.013197638432546288,-0.011179314866576024,0.6011980409649748,10.855072463768115,9.0,-0.13822502620668287,-0.09450609157687585,-0.11677978593215149,0.4761638883471694
meanrev,ADX 18-25,8,0,5,3,0,0.625,0.051749495573286584,0.0434645867051171,-0.02246931369723611,-0.024303293320019015,0.023917442096840574,0.02974666159119599,0.023917442096840574,3.8385310940502935,12.875,11.0,-0.0429881023642531,-0.03644841919877117,-0.0429881023642531,1.0
meanrev,ADX 25-40,44,1,19,25,0,0.4318181818181818,0.08243552327194432,0.06977126698815361,-0.04456615605847206,-0.03674302511131333,0.010275478197844102,-0.016738406705523734,0.010275478197844102,1.405797655164107,11.272727272727273,9.0,-0.10417027794415878,-0.07870073124563841,-0.09004899240364495,0.613450925573743
meanrev,ADX 40+,3,0,3,0,0,1.0,0.031382472829189455,0.037993891268263136,,,0.031382472829189455,0.037993891268263136,0.031382472829189455,inf,11.0,11.0,0.007077589132747919,0.01016921934629944,0.007077589132747919,1.0
pullback,ADX 18-25,270,0,116,154,0,0.42962962962962964,0.059765533321244436,0.03246440079963342,-0.027750257215255664,-0.02212916564096923,0.009849119459685116,-0.007091409459435372,0.009849119459685116,1.6222622219710212,5.848148148148148,4.0,-0.1126027235719641,-0.06484679852969245,-0.07918877904627186,0.21100592120875492
pullback,ADX 25-40,92,0,39,53,0,0.42391304347826086,0.057616411667490264,0.025696239216780326,-0.02514128916471088,-0.01626982634510543,0.009940779666330907,-0.005226878654838174,0.009940779666330907,1.686348774426696,5.923913043478261,4.0,-0.1245550227332578,-0.06653487445623878,-0.09347315820995347,0.5403037574877821
pullback,ADX 40+,1,0,0,1,0,0.0,,,-0.07018714442180907,-0.07018714442180907,-0.07018714442180907,-0.07018714442180907,-0.07018714442180907,0.0,2.0,2.0,-0.07018714442180907,-0.07018714442180907,-0.07018714442180907,
squeeze,ADX 18-25,104,1,42,62,0,0.40384615384615385,0.08127053274355903,0.05417025068371906,-0.03404134248163676,-0.029791592227829566,0.012526914820846159,-0.015016904875630455,0.012526914820846159,1.6172755786067605,12.875,10.0,-0.08562873252134862,-0.07112407160404018,-0.07702775815500167,0.3711645609425659
squeeze,ADX 25-40,68,0,16,52,0,0.23529411764705882,0.09488212767997564,0.04846269465390285,-0.041100631494345445,-0.03444817917897497,-0.009104688159211073,-0.025416378633911108,-0.009104688159211073,0.7103175733108728,10.632352941176471,7.0,-0.14879647972730503,-0.08437212527337894,-0.11402485346574387,0.7559145828493729
squeeze,ADX 40+,22,0,8,14,0,0.36363636363636365,0.05832383693032431,0.05547660996796544,-0.033700984218645834,-0.03128888220201176,-0.00023741289174760251,-0.0217248643649251,-0.00023741289174760251,0.9889297772760225,11.681818181818182,10.0,-0.07486324983931714,-0.05571544865540688,-0.06551820105901857,0.8321714093885476
