module,configuration,year,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit,group_type,symbol
breakout,ATR1.5-DYNAMIC-TRENDON,2021.0,26,0,11,15,0,0.4230769230769231,0.031209489739086237,0.020496874753304972,-0.032101349371550784,-0.03107891523998285,-0.005315994363204355,-0.01051360672470586,-0.005315994363204355,0.7129594110545305,4.1923076923076925,3.5,-0.059134127298469896,-0.05658679824234952,-0.059063209037797826,0.7423068226426199,year,
breakout,ATR1.5-DYNAMIC-TRENDON,2022.0,39,0,15,24,0,0.38461538461538464,0.0421464232743141,0.023692321777343706,-0.021493906136845087,-0.019698052132803123,0.0029831436366776778,-0.008034771350773573,0.0029831436366776778,1.2255340829506742,5.923076923076923,4.0,-0.054558565193297826,-0.04561415309865986,-0.050250237209087334,0.7187891106504743,year,
breakout,ATR1.5-DYNAMIC-TRENDON,2023.0,137,0,58,79,0,0.4233576642335766,0.035704634278667394,0.027369889038405093,-0.025781378775284764,-0.020606630634271483,0.0002491960942716215,-0.008435274087439604,0.0002491960942716215,1.0167621054159617,6.197080291970803,5.0,-0.13822502620668287,-0.04681251454107664,-0.07184356590547909,0.26146769239386736,year,
breakout,ATR1.5-DYNAMIC-TRENDON,2024.0,205,0,82,123,0,0.4,0.05049535650280786,0.02883545793713327,-0.026087049538749605,-0.02057806785946592,0.004545912877873389,-0.009974075623381262,0.004545912877873389,1.2904322871725362,5.790243902439024,4.0,-0.11205946390479227,-0.06129223511894852,-0.07897614466587792,0.24917665684003762,year,
breakout,ATR1.5-DYNAMIC-TRENDON,2025.0,149,0,46,103,0,0.3087248322147651,0.03784368723376285,0.032646166750335937,-0.027052087050058866,-0.022352066050769226,-0.0070171500228387385,-0.01366880272833626,-0.0070171500228387385,0.6247600848766877,5.067114093959732,4.0,-0.1415971387436179,-0.05816580446459363,-0.07438221317145804,0.31334350593661614,year,
breakout,ATR1.5-DYNAMIC-TRENDON,2026.0,117,0,42,75,0,0.358974358974359,0.058724223611222245,0.034978646462010654,-0.03604565204973369,-0.029088688291599385,-0.0020256966842623235,-0.01537903758502035,-0.0020256966842623235,0.9123309845223738,4.794871794871795,4.0,-0.21953813037602288,-0.07872838787275462,-0.1101725761955613,0.45268347986614277,year,
breakout,ATR1.75-DYNAMIC-TRENDON,2021.0,26,0,11,15,0,0.4230769230769231,0.027584669193405065,0.019850688207979417,-0.04038672415409379,-0.039771796154330574,-0.011629596199382735,-0.014691768285464701,-0.011629596199382735,0.50087641006275,4.653846153846154,3.5,-0.10933888191320018,-0.05669317563335763,-0.08423650460583504,0.7820905247622295,year,
breakout,ATR1.75-DYNAMIC-TRENDON,2022.0,39,0,16,23,0,0.41025641025641024,0.04003970367004836,0.02052980468562937,-0.02954872630061856,-0.027286431858845384,-0.000999626825473157,-0.008034771350773573,-0.000999626825473157,0.9426364648522982,6.897435897435898,5.0,-0.07987641386932753,-0.05443512744441704,-0.07283073146241137,0.7243028754358707,year,
breakout,ATR1.75-DYNAMIC-TRENDON,2023.0,131,0,58,73,0,0.44274809160305345,0.04520080274008674,0.03219302257386325,-0.02925604370215858,-0.024446512429705525,0.0037095829669271324,-0.006936189271090409,0.0037095829669271324,1.227540091415953,7.801526717557252,7.0,-0.13822502620668287,-0.05246957931909613,-0.07856356717261737,0.376340883795608,year,
breakout,ATR1.75-DYNAMIC-TRENDON,2024.0,197,0,79,118,0,0.4010152284263959,0.05282064801810398,0.03157418622122443,-0.029351342180822384,-0.02453113010472835,0.0036008772390516345,-0.012098286689302684,0.0036008772390516345,1.2048163248430865,6.9543147208121825,6.0,-0.11205946390479227,-0.059744428189791664,-0.08334768216261908,0.23893494767295734,year,
breakout,ATR1.75-DYNAMIC-TRENDON,2025.0,140,0,42,98,0,0.3,0.04527745069811222,0.03228719931989754,-0.030995601842173596,-0.029022708469698677,-0.008113686080087848,-0.01793392671484434,-0.008113686080087848,0.6260443603117858,6.4071428571428575,5.0,-0.1415971387436179,-0.057887304482282874,-0.08050073620185032,0.36993638001231616,year,
breakout,ATR1.75-DYNAMIC-TRENDON,2026.0,111,1,44,67,0,0.3963963963963964,0.06577170524531038,0.03070329988071463,-0.040943361453779,-0.03599377509857005,0.0013581064269411161,-0.016929128879198396,0.0013581064269411161,1.0549538956962061,6.297297297297297,4.0,-0.21953813037602288,-0.08054286836621255,-0.1107977405340282,0.4954690470868785,year,
breakout,ATR2-DYNAMIC-TRENDON,2021.0,26,0,11,15,0,0.4230769230769231,0.022280214248255114,0.010996042102775272,-0.04413593481303435,-0.04791219137613101,-0.01603679482556573,-0.011344194379895423,-0.01603679482556573,0.3701932190009607,5.653846153846154,5.0,-0.10933888191320018,-0.06336784495844791,-0.08705898304582038,0.8399146528378704,year,
breakout,ATR2-DYNAMIC-TRENDON,2022.0,36,0,14,22,0,0.3888888888888889,0.04956565468874468,0.03235574309662648,-0.02967931259781922,-0.030881047286857588,0.001138174680288962,-0.01188886548140311,0.001138174680288962,1.0627530591389611,8.0,5.5,-0.07686975172751598,-0.04950894429743738,-0.06455291345096525,0.7638309790588694,year,
breakout,ATR2-DYNAMIC-TRENDON,2023.0,123,0,55,68,0,0.44715447154471544,0.05339406929679998,0.030447535395942138,-0.033491374205197474,-0.028519855439391284,0.0053598403688664255,-0.009030773055300312,0.0053598403688664255,1.289477682035277,10.105691056910569,9.0,-0.13822502620668287,-0.055670216498226274,-0.08860764529967331,0.4067881127192349,year,
breakout,ATR2-DYNAMIC-TRENDON,2024.0,189,0,84,105,0,0.4444444444444444,0.05079704443705329,0.036181154809112215,-0.033828026053511706,-0.028419484748878232,0.0037831163867393996,-0.010435044097371948,0.0037831163867393996,1.2013008233279405,8.417989417989418,7.0,-0.11496623193871158,-0.06849714932404045,-0.0904347877236923,0.2249307988476578,year,
breakout,ATR2-DYNAMIC-TRENDON,2025.0,133,0,42,91,0,0.3157894736842105,0.05712994050726613,0.036055517053879105,-0.034162079880789765,-0.03148903776602785,-0.0053330208108773765,-0.01882664677667445,-0.0053330208108773765,0.7718401497074735,8.06015037593985,6.0,-0.1415971387436179,-0.06514368191456874,-0.08599627210533645,0.40439895999518377,year,
breakout,ATR2-DYNAMIC-TRENDON,2026.0,107,1,42,65,0,0.3925233644859813,0.0680334073578247,0.03169528453536552,-0.04467371089816142,-0.04010463905322137,-0.0004335336388023848,-0.013552340485983083,-0.0004335336388023848,0.9840249880163641,7.766355140186916,6.0,-0.21953813037602288,-0.08580081894515275,-0.11853399676903315,0.48418761238946223,year,
breakout,ATR2.25-DYNAMIC-TRENDON,2021.0,26,0,7,19,0,0.2692307692307692,0.025349013231168165,0.017354451937498627,-0.03699768509323304,-0.039649054843109544,-0.020212035544355796,-0.015153190416821116,-0.020212035544355796,0.25242417503323583,6.730769230769231,6.0,-0.10933888191320018,-0.06599732766431576,-0.08787114536973717,0.9659315642982685,year,
breakout,ATR2.25-DYNAMIC-TRENDON,2022.0,34,0,13,21,0,0.38235294117647056,0.05922159741994652,0.039540909451643236,-0.030289816512436826,-0.030899963378906214,0.003935135873474454,-0.007423050521847607,0.003935135873474454,1.2103404081025622,10.176470588235293,7.5,-0.08807851294094127,-0.0661807634444539,-0.08768179210114802,0.7457816871812228,year,
breakout,ATR2.25-DYNAMIC-TRENDON,2023.0,118,0,50,68,0,0.423728813559322,0.06268942572819411,0.030899302126779937,-0.03671074039135729,-0.032223293003723896,0.005407974066079748,-0.01165872812910973,0.005407974066079748,1.2556316076770104,11.38135593220339,9.5,-0.13822502620668287,-0.06482100514933364,-0.09140837908221876,0.46863868470801323,year,
