signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-10-10,Long,1,1,FLAT,,FILLED,1,2023-10-11,True,False,pullback,MA,lock25_1
2025-01-15,Long,1,1,FLAT,,FILLED,2,2025-01-16,True,False,pullback,MA,lock25_1
2025-03-24,Long,1,1,FLAT,,FILLED,3,2025-03-25,True,False,pullback,MA,lock25_1
2025-03-31,Long,1,1,FLAT,,FILLED,4,2025-04-01,True,False,pullback,MA,lock25_1
2025-06-16,Long,1,1,FLAT,,FILLED,5,2025-06-17,True,False,pullback,MA,lock25_1
2025-06-30,Long,1,1,FLAT,,FILLED,6,2025-07-01,True,False,pullback,MA,lock25_1
2025-10-23,Long,1,1,FLAT,,FILLED,7,2025-10-24,True,False,pullback,MA,lock25_1
