blocker,feature,bin,observations,complete,positive,positive_rate,median_feature,mean
bo_long_fail_trend,adx_margin,4,41,41,24,0.5853658536585366,17.717915177128283,0.027784505993508922
bo_long_fail_trend,adx_margin,5,11,11,6,0.5454545454545454,27.237530536692176,-0.005141544247894128
bo_long_fail_trend,ema_spread_pct,1,783,780,432,0.5538461538461539,-4.451284254896605,0.01193176680598228
bo_long_fail_trend,ema_spread_pct,2,72,70,48,0.6857142857142857,5.488876856117749,0.034648554203506696
bo_long_fail_trend,ema_spread_pct,3,77,70,38,0.5428571428571428,9.935042759387605,0.016704111511044988
bo_long_fail_trend,ema_spread_pct,4,51,45,25,0.5555555555555556,13.987546618828281,-0.002213422648385562
bo_long_fail_trend,ema_spread_pct,5,43,42,23,0.5476190476190477,22.346331147176077,0.023282725755956718
bo_long_fail_trend,atr_pct,1,80,77,52,0.6753246753246753,1.6538780544558127,0.017660228919617993
bo_long_fail_trend,atr_pct,2,129,122,71,0.5819672131147541,1.977664704394212,0.019463302005492154
bo_long_fail_trend,atr_pct,3,148,144,81,0.5625,2.3671819344838974,0.004457944834232384
bo_long_fail_trend,atr_pct,4,269,266,153,0.575187969924812,2.9468279329626994,0.02032177917877955
bo_long_fail_trend,atr_pct,5,400,398,209,0.5251256281407035,4.749801299669818,0.01004481754294517
bo_long_fail_trend,candle_range_atr,1,247,245,133,0.5428571428571428,0.737530179563063,0.006946636812891795
bo_long_fail_trend,candle_range_atr,2,176,172,99,0.5755813953488372,0.9443278097023478,0.01968486764498346
bo_long_fail_trend,candle_range_atr,3,222,216,122,0.5648148148148148,1.1231172982650035,0.018875624015738692
bo_long_fail_trend,candle_range_atr,4,182,178,103,0.5786516853932584,1.3263533883086,0.016298257911584263
bo_long_fail_trend,candle_range_atr,5,199,196,109,0.5561224489795918,1.6416921486128397,0.008743812354594024
bo_long_fail_trend,volume_ratio,1,186,185,102,0.5513513513513514,1.0469567135525164,0.0148619040616001
bo_long_fail_trend,volume_ratio,2,163,157,89,0.5668789808917197,1.1338878498539882,0.015999220777058853
bo_long_fail_trend,volume_ratio,3,208,203,125,0.6157635467980296,1.256569650524555,0.019051803861101682
bo_long_fail_trend,volume_ratio,4,244,238,128,0.5378151260504201,1.461993145019169,0.007359552885527669
bo_long_fail_trend,volume_ratio,5,225,224,122,0.5446428571428571,2.028171980300674,0.012943372711179218
