feature,bin,group,group_value,observations,complete,median_feature,mean,median,positive_rate,mean_mfe,mean_mae
rsi,1,year,2021,6,6,62.649202796387314,-0.044379495774172294,-0.014272548092889303,0.0,0.03983453010379403,-0.08714790579765537
rsi,1,year,2022,20,20,62.51400549420695,0.041785468401570186,0.04208180646071302,0.75,0.08025600493549877,-0.034224035598061434
rsi,1,year,2023,44,44,62.22700787369489,0.009183780001549024,0.027543030543715874,0.6136363636363636,0.04822647213098734,-0.03676927788125035
rsi,1,year,2024,58,58,62.96684174351586,0.018081803738519118,0.02339634734497309,0.5862068965517241,0.07226611977402694,-0.046957207703230606
rsi,1,year,2025,32,29,62.65101440504003,-6.471688391952867e-05,-0.010113448368138545,0.4827586206896552,0.046396650288180234,-0.04422007760032464
rsi,1,symbol,AAPL,5,5,59.16460484333745,0.0008591651199654438,-0.029807848861198583,0.4,0.031229322161581495,-0.04251902572593824
rsi,1,symbol,ABNB,2,2,64.85203032912297,0.0007799608359302934,0.0007799608359302934,0.5,0.024963701766743007,-0.07549000351657204
rsi,1,symbol,AMD,2,2,62.888749523537214,0.1184442073813382,0.1184442073813382,1.0,0.1345114797678505,-0.03480387214760211
rsi,1,symbol,AMZN,4,4,63.4137799913351,0.00973159048829797,0.026960337671567247,0.75,0.03784880872556562,-0.03230391679317435
rsi,1,symbol,ARM,2,2,60.587694216163136,-0.047646404792657915,-0.047646404792657915,0.0,0.04121678694042197,-0.10374596230934935
rsi,1,symbol,ASML,2,2,62.2922075946358,0.18569346818294263,0.18569346818294263,1.0,0.18992791803452969,0.0032754224073586746
rsi,1,symbol,AVGO,5,5,64.03036330859325,0.05238316021085123,0.039481474635047364,1.0,0.1359501328692399,-0.014615215256232083
rsi,1,symbol,BAC,1,1,64.98234805814161,0.06945054609696943,0.06945054609696943,1.0,0.0837362939184838,-0.008571415157108464
rsi,1,symbol,CAT,4,4,64.01841847142295,0.01034322722021358,0.006333179121764232,0.5,0.038043137387934745,-0.03125649869970454
rsi,1,symbol,COIN,1,1,51.77817577173434,-0.19716700564804424,-0.19716700564804424,0.0,-0.03314653152853475,-0.23416702535647482
rsi,1,symbol,COP,4,4,63.40297953435372,0.019600039562981036,0.03124894617530183,0.75,0.05594279923850948,-0.032370440371469994
rsi,1,symbol,COST,6,6,62.7454091763647,0.00627721598666429,0.01203894695976343,0.5,0.020543431218235136,-0.030982943342737213
rsi,1,symbol,CRWD,1,1,63.68355266391239,0.019315653068072036,0.019315653068072036,1.0,0.07816241830457193,-0.022673866097367767
rsi,1,symbol,CVX,4,4,62.42734199242156,0.07224151774583387,0.04418517397894528,0.75,0.10031089437326746,-0.029452549199467548
rsi,1,symbol,DDOG,1,1,62.9399987563314,0.02455772593136829,0.02455772593136829,1.0,0.09924061670455897,-0.035948013124851186
rsi,1,symbol,DE,4,4,61.593486708459494,-0.0349624500238602,-0.03703144134563652,0.0,0.026224169794304364,-0.06323922671133564
rsi,1,symbol,ETN,4,4,61.02317284335264,0.015871498850424298,0.027674090375881755,0.75,0.05119810220636928,-0.056109789914746744
rsi,1,symbol,GE,1,1,50.088105126386765,0.10265363241141778,0.10265363241141778,1.0,0.11280268750856992,0.017919519926440364
rsi,1,symbol,GOOGL,5,5,61.15537388845276,-0.015066198102563355,0.022943143176924252,0.6,0.025659691219573965,-0.06905039367538206
rsi,1,symbol,GS,4,3,64.19091658534067,0.05847165222111735,0.06306459072553738,1.0,0.06398613912971178,-0.00914609715603972
rsi,1,symbol,HD,4,4,59.620847469703236,0.014238532752587657,0.029293593587919387,0.75,0.03392965581244184,-0.0322108458345598
rsi,1,symbol,HON,2,2,62.34322173983388,0.04166157617493804,0.04166157617493804,1.0,0.1111240189744318,-0.00293645070238413
rsi,1,symbol,HOOD,3,1,64.01739873182856,-0.11528822754015366,-0.11528822754015366,0.0,0.039264770498719015,-0.13826237675233666
rsi,1,symbol,JPM,2,2,61.024769444046385,0.031459804843629424,0.031459804843629424,0.5,0.056261321050476876,-0.01283594286751627
rsi,1,symbol,LLY,8,8,59.44438340362994,0.017190699751156766,0.03497743287821409,0.75,0.06447922228488516,-0.027804635426772903
rsi,1,symbol,MA,3,3,60.03786256777742,0.00451414037664466,0.00435888105865212,0.6666666666666666,0.034141234793401885,-0.0246451358707237
rsi,1,symbol,META,2,2,62.632967997191344,-0.01244565488742555,-0.01244565488742555,0.0,0.00945163871873067,-0.06516317685168738
rsi,1,symbol,MRVL,4,4,56.73550912098179,0.03314248616548213,0.043827776417381226,0.75,0.07843024234334756,-0.04589711753618972
rsi,1,symbol,MS,2,2,57.19743983943221,0.05500491814703534,0.05500491814703534,1.0,0.0652314767689286,-0.029719611179749084
rsi,1,symbol,MSFT,6,6,61.95901801082438,-0.002048624419549986,-0.01008095965774286,0.3333333333333333,0.033301801581018385,-0.04188096312918808
rsi,1,symbol,MU,6,6,63.41535356485322,0.04255523948259219,0.0625318636501262,0.6666666666666666,0.09863393766793604,-0.02568497695119759
rsi,1,symbol,NFLX,3,3,61.01131288857952,0.01072579585710313,0.000590977710232421,0.6666666666666666,0.0343156162183856,-0.02740158684039014
rsi,1,symbol,NKE,1,1,65.11003137798077,-0.07035493019638683,-0.07035493019638683,0.0,0.00429460622898592,-0.07730194844930649
rsi,1,symbol,NOW,3,3,64.23633496152316,-0.016035946602934652,-0.0304095688159971,0.3333333333333333,0.07571997782305602,-0.054281052429045795
rsi,1,symbol,NVDA,1,1,61.690659407875195,0.033661960814699965,0.033661960814699965,1.0,0.07024080424187007,-0.04426509267252743
rsi,1,symbol,ORCL,1,1,63.81666006421111,0.03571425967717423,0.03571425967717423,1.0,0.06868131767989127,-0.0059722884939036325
rsi,1,symbol,PANW,2,2,58.38090354443759,0.009873960359837841,0.009873960359837841,0.5,0.07773122979653291,-0.023972963523749058
rsi,1,symbol,PLTR,2,2,63.11683080426556,0.07457213307851462,0.07457213307851462,1.0,0.11755850240864008,-0.015402995315731915
rsi,1,symbol,QCOM,2,2,62.679125986492615,-0.055830245853660476,-0.055830245853660476,0.0,0.05403263079162968,-0.08622680083844964
rsi,1,symbol,ROKU,2,2,63.8626400291374,-0.20304658338668846,-0.20304658338668846,0.0,0.00932325778740506,-0.2204180436665285
rsi,1,symbol,RTX,4,4,60.820992900931216,0.03787697396986375,0.03575373127000825,0.75,0.06412254051682675,-0.01582913460120558
rsi,1,symbol,SHOP,5,5,63.69302923021954,-0.04126815481803199,-0.01861256513473608,0.2,0.0379239368404769,-0.0831014642695321
rsi,1,symbol,SMCI,4,4,64.55372869214145,0.08612640016137793,-0.014272548092889303,0.25,0.1763165516933773,-0.05417049951394923
rsi,1,symbol,TSLA,5,5,59.72409645211274,0.02931427292174311,-0.011365485704404543,0.4,0.12057494236502282,-0.06188172453654561
rsi,1,symbol,TSM,4,4,63.01521522179871,-0.009889967642442349,-0.007656117808599705,0.5,0.03319498324070497,-0.04503850871839915
rsi,1,symbol,UBER,3,3,61.96290269006749,-0.03556694201499603,-0.09593064474089774,0.3333333333333333,0.04846471178666315,-0.09569040359382608
rsi,1,symbol,V,7,7,63.997075333228345,-0.006119946103713707,-0.022262592496288813,0.42857142857142855,0.019391747164299446,-0.03180176656224931
rsi,1,symbol,WMT,5,5,63.60239378441847,0.03030474449995122,0.03377644777383537,0.8,0.0438783658552722,-0.012433417459675699
rsi,1,symbol,XOM,2,2,64.14638821575574,-0.0104143806912666,-0.0104143806912666,0.5,0.05121069040240478,-0.05381873488276434
rsi,2,year,2021,6,6,66.24608285129881,-0.0199992350918252,-0.04094169775234341,0.3333333333333333,0.033870045649715706,-0.05451012168299385
rsi,2,year,2022,13,13,66.86740030709342,-0.04969890890481986,-0.04344098365257232,0.3076923076923077,0.032421058416300524,-0.07941767158943999
rsi,2,year,2023,51,51,66.8299060550356,0.025098397573141,0.01955443552874181,0.7450980392156863,0.057787497263350786,-0.028802675150891802
rsi,2,year,2024,59,59,67.09814294710631,0.03107687735249458,0.016062350676743442,0.7288135593220338,0.07692651841629555,-0.03208491704619217
rsi,2,year,2025,30,25,66.88208867040568,0.002163044246035395,0.007492812945778304,0.52,0.04385345899007147,-0.054757834978451124
rsi,2,symbol,AAPL,5,4,67.61732140854858,0.019524019066743115,0.01761545408585896,1.0,0.02892113997266038,-0.021503658801502235
rsi,2,symbol,ABNB,2,2,68.210747667403,0.04843316355853022,0.04843316355853022,1.0,0.08417267240928861,-0.015423922913475718
rsi,2,symbol,AMD,3,3,67.10230671104068,-0.010976672667447876,-0.028411163223314384,0.3333333333333333,0.10396261834387865,-0.047616974455216544
rsi,2,symbol,AMZN,6,6,67.60574967763682,-0.018161089571787786,-0.012822032850623999,0.5,0.022650883259148918,-0.03770111895618208
rsi,2,symbol,ASML,4,4,67.09959535407498,0.02392616751155391,-0.009235087434810385,0.5,0.05783336604860581,-0.037684617646086604
rsi,2,symbol,AVGO,9,9,66.67202723045759,0.01949964143606116,0.003528235874347363,0.6666666666666666,0.07032094841852289,-0.020699969632960762
rsi,2,symbol,BAC,1,0,67.14839965073135,,,,,
rsi,2,symbol,CAT,5,5,67.2813798392244,0.01930676037932899,0.029495739084234085,0.8,0.04995672003954987,-0.02779709126952352
rsi,2,symbol,COP,3,3,67.96470061582743,-0.051672308026097936,-0.01969880415377101,0.0,0.055719892097206326,-0.07720607700636979
rsi,2,symbol,COST,6,6,67.03780110638957,-0.009972330713793609,-0.018940211795671125,0.5,0.03233279133730347,-0.048827635870634635
rsi,2,symbol,CRM,3,3,67.78691131355932,0.06692792944500596,0.040718383848178163,1.0,0.09287439890045812,-0.018717707397409078
rsi,2,symbol,CRWD,3,3,67.70162469872513,0.03642225165663523,0.032543989649590044,0.6666666666666666,0.061981839681055716,-0.02858744575978241
rsi,2,symbol,CVX,1,1,66.86740030709342,-0.04344098365257232,-0.04344098365257232,0.0,0.01726904347298075,-0.05706317176088105
rsi,2,symbol,DDOG,1,1,66.34683205741744,-0.012616014863850111,-0.012616014863850111,0.0,0.07970323150233516,-0.05308261926687585
